nroThreads, iteracion, tiempoParal, tiempoSecu
1, 1, 184209, 179127
1, 2, 188204, 178792
1, 3, 188590, 178800
1, 4, 184031, 181029
1, 5, 188623, 178935
1, 6, 184046, 178868
1, 7, 184418, 183106
1, 8, 187641, 179401
1, 9, 183971, 178778
1, 10, 185786, 178943
1, 11, 184288, 178838
1, 12, 183947, 180443
1, 13, 188630, 179446
1, 14, 184154, 178894
1, 15, 184248, 181210
1, 16, 183913, 179157
1, 17, 183973, 178719
1, 18, 184983, 180586
1, 19, 183961, 178927
1, 20, 183939, 178651
1, 21, 185934, 179146
1, 22, 184083, 178880
1, 23, 183873, 179165
1, 24, 186732, 179054
1, 25, 184105, 178783
1, 26, 183853, 182371
1, 27, 184574, 179000
1, 28, 184485, 178696
1, 29, 184304, 181466
1, 30, 183918, 178897
1, 31, 184046, 178710
1, 32, 186628, 178792
1, 33, 186154, 178740
1, 34, 184128, 178916
1, 35, 185389, 178841
1, 36, 183970, 178805
1, 37, 183725, 181452
1, 38, 184233, 179141
1, 39, 184002, 178742
1, 40, 184401, 180580
1, 41, 183834, 178999
1, 42, 183820, 178608
1, 43, 186130, 178867
1, 44, 184437, 179237
1, 45, 185835, 178950
1, 46, 185691, 178805
1, 47, 184004, 179269
1, 48, 183766, 180585
1, 49, 183838, 178982
1, 50, 183993, 178671
1, 51, 184387, 179503
1, 52, 184334, 178960
1, 53, 184000, 178664
1, 54, 186471, 178921
1, 55, 183981, 178810
1, 56, 183984, 178944
1, 57, 188388, 178730
1, 58, 183980, 178809
1, 59, 188283, 184546
1, 60, 188616, 179087
1, 61, 183867, 178796
1, 62, 184642, 179618
1, 63, 183955, 179020
1, 64, 183884, 178675
1, 65, 186384, 178893
1, 66, 184268, 178844
1, 67, 183954, 179337
1, 68, 188545, 178938
1, 69, 183907, 178828
1, 70, 183709, 181594
1, 71, 187080, 179205
1, 72, 184105, 178760
1, 73, 184854, 183263
1, 74, 184762, 178833
1, 75, 183846, 179663
1, 76, 187115, 180411
1, 77, 183996, 178819
1, 78, 183981, 179434
1, 79, 188470, 178831
1, 80, 184166, 178706
1, 81, 183730, 181868
1, 82, 184670, 179125
1, 83, 183889, 178690
1, 84, 184933, 183210
1, 85, 187532, 178838
1, 86, 183882, 178754
1, 87, 187346, 181285
1, 88, 184282, 178768
1, 89, 184055, 179763
1, 90, 188566, 183187
1, 91, 184027, 178670
1, 92, 183852, 182212
1, 93, 188523, 179831
1, 94, 183917, 178716
1, 95, 185433, 180364
1, 96, 183887, 178919
1, 97, 183916, 178818
1, 98, 187443, 178801
1, 99, 185055, 178788
1, 100, 184231, 180244
1, 101, 188527, 178795
1, 102, 183921, 178710
1, 103, 184029, 182392
1, 104, 184017, 179059
1, 105, 183879, 178721
1, 106, 185368, 179013
1, 107, 184059, 178779
1, 108, 184041, 178999
1, 109, 187093, 178867
1, 110, 184087, 178945
1, 111, 183863, 180282
1, 112, 185278, 178738
1, 113, 183946, 178696
1, 114, 184106, 182370
1, 115, 188161, 178937
1, 116, 183867, 179258
1, 117, 185716, 182981
1, 118, 183872, 178697
1, 119, 183812, 178834
1, 120, 185910, 178822
1, 121, 184408, 178713
1, 122, 183988, 180442
1, 123, 184667, 178854
1, 124, 183964, 178794
1, 125, 184051, 180795
1, 126, 183803, 179121
1, 127, 183988, 178762
1, 128, 185827, 183249
1, 129, 185863, 178809
1, 130, 183869, 179032
1, 131, 186925, 178762
1, 132, 184082, 178747
1, 133, 183938, 180498
1, 134, 187372, 178918
1, 135, 183922, 178675
1, 136, 184287, 182211
1, 137, 183799, 178940
1, 138, 183797, 178937
1, 139, 185911, 183239
1, 140, 186282, 178728
1, 141, 183865, 179017
1, 142, 187969, 178746
1, 143, 186312, 178773
1, 144, 183882, 181122
1, 145, 188688, 179068
1, 146, 184013, 178719
1, 147, 184097, 179301
1, 148, 184205, 179061
1, 149, 183841, 178816
1, 150, 185178, 178694
2, 1, 183555, 178753
2, 2, 183414, 178827
2, 3, 183617, 178845
2, 4, 183200, 178663
2, 5, 183159, 181096
2, 6, 183614, 179037
2, 7, 183931, 178760
2, 8, 183352, 180898
2, 9, 183590, 179301
2, 10, 183635, 178730
2, 11, 185663, 182156
2, 12, 183471, 179166
2, 13, 183270, 179018
2, 14, 185597, 178626
2, 15, 183053, 178909
2, 16, 182864, 180559
2, 17, 183825, 178818
2, 18, 183579, 178804
2, 19, 183772, 179653
2, 20, 183194, 178841
2, 21, 183163, 178840
2, 22, 185071, 183205
2, 23, 184222, 178784
2, 24, 183874, 178947
2, 25, 185430, 178810
2, 26, 183694, 178668
2, 27, 183300, 180491
2, 28, 188642, 183301
2, 29, 188578, 179486
2, 30, 184364, 182929
2, 31, 183931, 178824
2, 32, 183567, 178754
2, 33, 186642, 178862
2, 34, 183303, 178940
2, 35, 183030, 179953
2, 36, 185092, 179314
2, 37, 184071, 178883
2, 38, 184042, 180904
2, 39, 186160, 178916
2, 40, 182927, 178758
2, 41, 182951, 182949
2, 42, 183308, 178979
2, 43, 183220, 178739
2, 44, 185350, 180474
2, 45, 184144, 178797
2, 46, 183781, 179025
2, 47, 187310, 178810
2, 48, 184120, 180377
2, 49, 184148, 180918
2, 50, 183416, 179570
2, 51, 183356, 179005
2, 52, 183438, 182942
2, 53, 183163, 178882
2, 54, 182797, 178763
2, 55, 184812, 182479
2, 56, 184242, 178839
2, 57, 184000, 178956
2, 58, 185505, 179084
2, 59, 183977, 178741
2, 60, 183841, 180681
2, 61, 183028, 179103
2, 62, 183298, 178737
2, 63, 183339, 182860
2, 64, 183449, 178917
2, 65, 183397, 178728
2, 66, 185340, 178916
2, 67, 183471, 178799
2, 68, 183286, 178832
2, 69, 187752, 178750
2, 70, 184025, 178828
2, 71, 183875, 180605
2, 72, 188427, 183252
2, 73, 184022, 178787
2, 74, 184135, 182899
2, 75, 183097, 178753
2, 76, 183170, 178759
2, 77, 185160, 183281
2, 78, 183821, 178857
2, 79, 183585, 178871
2, 80, 187265, 179049
2, 81, 183283, 178683
2, 82, 183248, 180752
2, 83, 187321, 178913
2, 84, 183182, 178758
2, 85, 183472, 182955
2, 86, 183581, 178885
2, 87, 183351, 178658
2, 88, 185495, 182948
2, 89, 183995, 178882
2, 90, 183974, 179048
2, 91, 187895, 178763
2, 92, 183708, 178790
2, 93, 183512, 180843
2, 94, 188492, 179183
2, 95, 184041, 178657
2, 96, 184179, 179277
2, 97, 183761, 178845
2, 98, 183797, 178833
2, 99, 185949, 183219
2, 100, 183838, 178704
2, 101, 183704, 179008
2, 102, 185535, 178808
2, 103, 183368, 178683
2, 104, 183532, 180819
2, 105, 183522, 179516
2, 106, 183411, 181569
2, 107, 183844, 179391
2, 108, 183191, 178911
2, 109, 182810, 178712
2, 110, 184944, 183162
2, 111, 183828, 178708
2, 112, 183618, 178932
2, 113, 187349, 178894
2, 114, 184072, 178738
2, 115, 183406, 180838
2, 116, 188451, 179385
2, 117, 183987, 178877
2, 118, 184284, 179828
2, 119, 184078, 180251
2, 120, 188502, 182990
2, 121, 184375, 178948
2, 122, 183755, 178754
2, 123, 183578, 178900
2, 124, 187221, 179021
2, 125, 186904, 178677
2, 126, 182989, 181095
2, 127, 187463, 178901
2, 128, 183572, 178702
2, 129, 183941, 179443
2, 130, 183208, 178894
2, 131, 183161, 178904
2, 132, 186106, 179426
2, 133, 183936, 178737
2, 134, 184329, 178938
2, 135, 184984, 179007
2, 136, 183915, 178749
2, 137, 183915, 180956
2, 138, 187958, 178955
2, 139, 183789, 178687
2, 140, 183802, 182823
2, 141, 183203, 178857
2, 142, 182944, 178940
2, 143, 186163, 183245
2, 144, 184693, 178758
2, 145, 183732, 179132
2, 146, 188747, 178823
2, 147, 184087, 178681
2, 148, 184351, 181192
2, 149, 186019, 178894
2, 150, 183412, 178692
4, 1, 182960, 179338
4, 2, 185775, 178831
4, 3, 182328, 179067
4, 4, 184839, 178818
4, 5, 182887, 178732
4, 6, 182476, 179022
4, 7, 182772, 179048
4, 8, 182731, 178794
4, 9, 182852, 180878
4, 10, 182479, 178959
4, 11, 182540, 178721
4, 12, 182843, 182990
4, 13, 182931, 179009
4, 14, 182500, 179195
4, 15, 184446, 179395
4, 16, 182554, 178889
4, 17, 182116, 178991
4, 18, 184233, 179390
4, 19, 182134, 178684
4, 20, 182021, 180564
4, 21, 182218, 178950
4, 22, 181988, 178711
4, 23, 182217, 181191
4, 24, 182802, 179312
4, 25, 182614, 178635
4, 26, 184346, 182176
4, 27, 182831, 178886
4, 28, 182496, 179154
4, 29, 186665, 178761
4, 30, 187591, 178725
4, 31, 183237, 180284
4, 32, 182547, 179274
4, 33, 182651, 178845
4, 34, 182920, 182416
4, 35, 182802, 179070
4, 36, 182799, 178985
4, 37, 184549, 178705
4, 38, 182834, 178799
4, 39, 182455, 178996
4, 40, 183801, 179027
4, 41, 182169, 178946
4, 42, 183066, 179907
4, 43, 182802, 178905
4, 44, 182994, 179014
4, 45, 183136, 181925
4, 46, 182680, 178994
4, 47, 182380, 178775
4, 48, 185331, 183607
4, 49, 182699, 178906
4, 50, 182388, 179137
4, 51, 185596, 179223
4, 52, 182664, 178779
4, 53, 182424, 179629
4, 54, 183411, 178930
4, 55, 183229, 178689
4, 56, 183397, 181537
4, 57, 182472, 178907
4, 58, 182544, 178677
4, 59, 183440, 183252
4, 60, 181915, 178782
4, 61, 181820, 179567
4, 62, 185544, 183101
4, 63, 182885, 178748
4, 64, 182952, 179601
4, 65, 182963, 179086
4, 66, 182671, 178757
4, 67, 182887, 181396
4, 68, 182713, 179626
4, 69, 182700, 179045
4, 70, 183296, 179019
4, 71, 183315, 178821
4, 72, 182978, 179012
4, 73, 185091, 178921
4, 74, 182926, 178707
4, 75, 182717, 179032
4, 76, 182571, 178868
4, 77, 182181, 178667
4, 78, 182623, 180961
4, 79, 182419, 179002
4, 80, 182560, 178966
4, 81, 182853, 183006
4, 82, 182026, 179000
4, 83, 181819, 179009
4, 84, 184528, 179543
4, 85, 183104, 178651
4, 86, 182499, 179010
4, 87, 184456, 178789
4, 88, 182195, 179307
4, 89, 182840, 180616
4, 90, 181513, 179062
4, 91, 181910, 178790
4, 92, 182230, 182613
4, 93, 182621, 179066
4, 94, 182344, 178853
4, 95, 183934, 181575
4, 96, 184525, 178982
4, 97, 182410, 179001
4, 98, 185359, 181492
4, 99, 181820, 178764
4, 100, 181866, 180148
4, 101, 182976, 179218
4, 102, 182470, 178730
4, 103, 182895, 182241
4, 104, 183135, 179005
4, 105, 182785, 178826
4, 106, 183605, 183305
4, 107, 182574, 178750
4, 108, 182501, 179117
4, 109, 186430, 178945
4, 110, 183666, 178823
4, 111, 183102, 180006
4, 112, 182073, 179052
4, 113, 182088, 178725
4, 114, 182529, 182043
4, 115, 182037, 178911
4, 116, 181924, 178838
4, 117, 182749, 180304
4, 118, 182761, 178841
4, 119, 182478, 179112
4, 120, 185834, 178941
4, 121, 183024, 178761
4, 122, 182936, 179385
4, 123, 182430, 179117
4, 124, 182155, 178782
4, 125, 182682, 181377
4, 126, 182437, 178860
4, 127, 182184, 178696
4, 128, 182547, 183407
4, 129, 182996, 178847
4, 130, 182800, 179246
4, 131, 184704, 178776
4, 132, 182555, 178741
4, 133, 182224, 179216
4, 134, 183476, 179003
4, 135, 182764, 178770
4, 136, 183086, 181203
4, 137, 182073, 178891
4, 138, 181842, 178857
4, 139, 182208, 179418
4, 140, 182951, 178850
4, 141, 182719, 178954
4, 142, 183646, 178594
4, 143, 182207, 178645
4, 144, 182030, 178884
4, 145, 186692, 179042
4, 146, 182852, 178722
4, 147, 182832, 180623
4, 148, 182673, 178940
4, 149, 182517, 178734
4, 150, 182760, 182692
8, 1, 181519, 178890
8, 2, 181440, 179072
8, 3, 181612, 179354
8, 4, 180353, 179309
8, 5, 180029, 178965
8, 6, 184079, 179436
8, 7, 180296, 178708
8, 8, 180525, 179911
8, 9, 181234, 179075
8, 10, 181682, 178759
8, 11, 181707, 181722
8, 12, 181668, 178955
8, 13, 181806, 178788
8, 14, 182073, 178922
8, 15, 181512, 178793
8, 16, 181419, 179001
8, 17, 184518, 179051
8, 18, 183559, 179757
8, 19, 181773, 179417
8, 20, 181234, 179033
8, 21, 181573, 178741
8, 22, 181867, 181035
8, 23, 180338, 178984
8, 24, 180473, 178976
8, 25, 180796, 183124
8, 26, 180293, 178766
8, 27, 180043, 179040
8, 28, 183944, 179057
8, 29, 182025, 178775
8, 30, 181887, 179138
8, 31, 185103, 180156
8, 32, 181077, 178724
8, 33, 181297, 180434
8, 34, 180193, 179449
8, 35, 181121, 178790
8, 36, 180876, 182676
8, 37, 181441, 178832
8, 38, 180939, 179204
8, 39, 182905, 178986
8, 40, 182220, 178885
8, 41, 181603, 179233
8, 42, 185507, 182794
8, 43, 182587, 179330
8, 44, 182611, 179831
8, 45, 181005, 178937
8, 46, 183089, 178903
8, 47, 181322, 181475
8, 48, 180928, 178801
8, 49, 180667, 179010
8, 50, 181538, 179137
8, 51, 181437, 178802
8, 52, 181349, 180712
8, 53, 184044, 178951
8, 54, 181863, 178848
8, 55, 181850, 179225
8, 56, 180924, 179360
8, 57, 181262, 178797
8, 58, 181419, 181186
8, 59, 181570, 178923
8, 60, 181150, 178828
8, 61, 181639, 180168
8, 62, 181510, 179241
8, 63, 180912, 179746
8, 64, 182890, 179412
8, 65, 181259, 178837
8, 66, 181288, 179125
8, 67, 184324, 178908
8, 68, 182294, 178929
8, 69, 181955, 180339
8, 70, 182361, 178921
8, 71, 182242, 178830
8, 72, 182408, 182639
8, 73, 180937, 178715
8, 74, 180487, 178998
8, 75, 181901, 179918
8, 76, 180593, 178797
8, 77, 180555, 179299
8, 78, 183784, 182905
8, 79, 180476, 178899
8, 80, 180541, 181006
8, 81, 182075, 179188
8, 82, 181715, 178774
8, 83, 182282, 181751
8, 84, 181378, 178904
8, 85, 180273, 179056
8, 86, 181589, 183301
8, 87, 181380, 178879
8, 88, 181235, 179174
8, 89, 184386, 182062
8, 90, 181606, 178797
8, 91, 182152, 179077
8, 92, 181882, 178934
8, 93, 182046, 178769
8, 94, 182477, 181181
8, 95, 181441, 178990
8, 96, 180769, 178978
8, 97, 181326, 183206
8, 98, 181565, 178794
8, 99, 181467, 179118
8, 100, 183781, 183189
8, 101, 181693, 178805
8, 102, 182350, 178793
8, 103, 185352, 179142
8, 104, 181182, 178951
8, 105, 181404, 180627
8, 106, 181332, 178992
8, 107, 181240, 178971
8, 108, 181575, 182737
8, 109, 181770, 178934
8, 110, 181424, 179063
8, 111, 182180, 179156
8, 112, 180857, 178750
8, 113, 180719, 179106
8, 114, 184399, 178791
8, 115, 180904, 178637
8, 116, 181025, 179929
8, 117, 180427, 179060
8, 118, 180463, 179045
8, 119, 180749, 181733
8, 120, 180990, 179165
8, 121, 180999, 179301
8, 122, 181899, 178865
8, 123, 181091, 178877
8, 124, 181208, 179048
8, 125, 184033, 178898
8, 126, 181585, 178751
8, 127, 181699, 179046
8, 128, 181213, 179013
8, 129, 181248, 178815
8, 130, 181514, 181452
8, 131, 181185, 178998
8, 132, 180852, 179038
8, 133, 180602, 180927
8, 134, 180658, 178793
8, 135, 180625, 179286
8, 136, 182722, 179611
8, 137, 181258, 178879
8, 138, 180986, 179013
8, 139, 185591, 179604
8, 140, 181684, 178946
8, 141, 182050, 180231
8, 142, 181600, 178877
8, 143, 181242, 178744
8, 144, 181479, 182256
8, 145, 181883, 178838
8, 146, 180022, 179062
8, 147, 181947, 180095
8, 148, 181317, 178779
8, 149, 181433, 179164
8, 150, 183750, 178902
16, 1, 179354, 178797
16, 2, 179465, 179509
16, 3, 178613, 179145
16, 4, 179231, 178798
16, 5, 179270, 181021
16, 6, 179942, 179047
16, 7, 179320, 179018
16, 8, 179698, 182952
16, 9, 179920, 178770
16, 10, 179433, 179156
16, 11, 182048, 181944
16, 12, 180380, 178765
16, 13, 180096, 179112
16, 14, 183089, 179616
16, 15, 179902, 178861
16, 16, 179648, 180152
16, 17, 179910, 178963
16, 18, 179543, 178820
16, 19, 179507, 181951
16, 20, 180062, 178814
16, 21, 179440, 179469
16, 22, 180563, 179697
16, 23, 180113, 178834
16, 24, 180390, 179458
16, 25, 182091, 178794
16, 26, 179437, 178686
16, 27, 180159, 178946
16, 28, 179863, 178931
16, 29, 179313, 178809
16, 30, 179366, 180719
16, 31, 179330, 178963
16, 32, 178928, 178834
16, 33, 178950, 182787
16, 34, 179219, 179027
16, 35, 179225, 179041
16, 36, 180860, 178754
16, 37, 179935, 178846
16, 38, 179890, 179101
16, 39, 182699, 179015
16, 40, 179636, 178850
16, 41, 179852, 179464
16, 42, 179120, 178951
16, 43, 179735, 178631
16, 44, 179391, 181468
16, 45, 180380, 178855
16, 46, 179996, 179219
16, 47, 179950, 179521
16, 48, 180056, 178829
16, 49, 180298, 179192
16, 50, 181856, 183475
16, 51, 179824, 178755
16, 52, 179853, 178918
16, 53, 182877, 178879
16, 54, 179789, 178653
16, 55, 179319, 180237
16, 56, 179621, 179299
16, 57, 179713, 178784
16, 58, 180117, 182181
16, 59, 179919, 178805
16, 60, 179705, 179141
16, 61, 180595, 178713
16, 62, 179494, 179030
16, 63, 180152, 179130
16, 64, 182585, 179159
16, 65, 179661, 178992
16, 66, 180364, 179395
16, 67, 179278, 179233
16, 68, 179350, 179038
16, 69, 179634, 181119
16, 70, 179198, 178918
16, 71, 179543, 179004
16, 72, 179112, 183024
16, 73, 180214, 179013
16, 74, 181339, 179055
16, 75, 182266, 179605
16, 76, 180916, 178735
16, 77, 180405, 178771
16, 78, 183705, 179290
16, 79, 179982, 178798
16, 80, 182104, 180148
16, 81, 179700, 179258
16, 82, 180427, 178789
16, 83, 180142, 182014
16, 84, 180405, 178887
16, 85, 180282, 179037
16, 86, 180530, 183320
16, 87, 180072, 178838
16, 88, 179687, 179046
16, 89, 182676, 183308
16, 90, 179971, 178849
16, 91, 180739, 179376
16, 92, 179382, 178980
16, 93, 179455, 178738
16, 94, 179173, 181368
16, 95, 179351, 179105
16, 96, 179438, 179076
16, 97, 179473, 180563
16, 98, 179732, 178855
16, 99, 179492, 178981
16, 100, 180100, 182198
16, 101, 179577, 178782
16, 102, 179005, 179058
16, 103, 183136, 178930
16, 104, 179563, 179504
16, 105, 179900, 180007
16, 106, 180396, 178971
16, 107, 179666, 178813
16, 108, 179731, 181776
16, 109, 179893, 178857
16, 110, 180522, 179202
16, 111, 180930, 178957
16, 112, 180480, 178798
16, 113, 180713, 179121
16, 114, 181740, 179327
16, 115, 179843, 178898
16, 116, 180052, 178714
16, 117, 179984, 179271
16, 118, 179416, 178847
16, 119, 179547, 180389
16, 120, 180400, 178912
16, 121, 180313, 178904
16, 122, 179138, 182508
16, 123, 179571, 179037
16, 124, 179000, 179181
16, 125, 180425, 180558
16, 126, 179712, 178710
16, 127, 179532, 179501
16, 128, 183445, 182553
16, 129, 179941, 178770
16, 130, 180200, 179286
16, 131, 180025, 178814
16, 132, 179923, 178809
16, 133, 180403, 180568
16, 134, 180456, 178956
16, 135, 179833, 179288
16, 136, 179882, 183888
16, 137, 179812, 178912
16, 138, 179578, 179021
16, 139, 181867, 183260
16, 140, 179704, 178809
16, 141, 179701, 179076
16, 142, 180690, 179555
16, 143, 180502, 178735
16, 144, 180583, 180882
16, 145, 179363, 179154
16, 146, 179069, 178943
16, 147, 180441, 179628
16, 148, 179900, 178859
16, 149, 179486, 179259
16, 150, 180376, 183288
32, 1, 178325, 179424
32, 2, 177908, 179014
