nroThreads, iteracion, tiempoParal, tiempoSecu
1, 1, 2913, 1735
1, 2, 2492, 2633
1, 3, 2474, 3002
1, 4, 2849, 3399
1, 5, 3009, 3108
1, 6, 2451, 2629
1, 7, 2867, 2342
1, 8, 2797, 2503
1, 9, 2956, 2626
1, 10, 2856, 2660
1, 11, 2962, 2637
1, 12, 2885, 2719
1, 13, 2890, 2638
1, 14, 2814, 2221
1, 15, 2460, 2629
1, 16, 2445, 2745
1, 17, 2874, 2730
1, 18, 2747, 2790
1, 19, 2431, 2672
1, 20, 2901, 2815
1, 21, 2864, 2648
1, 22, 2484, 2765
1, 23, 2520, 2687
1, 24, 3262, 2829
1, 25, 2431, 2716
1, 26, 2625, 3078
1, 27, 2845, 2793
1, 28, 3094, 2685
1, 29, 2874, 2671
1, 30, 2986, 2626
1, 31, 2882, 2662
1, 32, 2855, 2712
1, 33, 2884, 2626
1, 34, 3002, 2751
1, 35, 2866, 2818
1, 36, 3241, 2842
1, 37, 2439, 2971
1, 38, 2901, 2208
1, 39, 2802, 2839
1, 40, 2441, 2627
1, 41, 2678, 2869
1, 42, 2836, 2657
1, 43, 2984, 2209
1, 44, 2825, 2258
1, 45, 2992, 2634
1, 46, 2863, 2636
1, 47, 3085, 2645
1, 48, 2834, 2681
1, 49, 3084, 2686
1, 50, 2828, 2676
2, 1, 2992, 2639
2, 2, 2693, 2386
2, 3, 2650, 2238
2, 4, 2699, 2736
2, 5, 3446, 2673
2, 6, 2783, 2919
2, 7, 2817, 2377
2, 8, 2730, 2716
2, 9, 2819, 2297
2, 10, 2976, 2893
2, 11, 2706, 2693
2, 12, 2455, 2342
2, 13, 2573, 2220
2, 14, 4180, 2366
2, 15, 2555, 2294
2, 16, 1844, 1754
2, 17, 2771, 1769
2, 18, 2354, 2252
2, 19, 2780, 2528
2, 20, 2798, 2884
2, 21, 2689, 2239
2, 22, 2658, 2301
2, 23, 2865, 2639
2, 24, 2741, 2808
2, 25, 2696, 2645
2, 26, 2705, 2769
2, 27, 2732, 2581
2, 28, 2652, 2359
2, 29, 2739, 2218
2, 30, 2706, 2774
2, 31, 2783, 2673
2, 32, 2704, 2776
2, 33, 2434, 2601
2, 34, 2270, 2259
2, 35, 2723, 2836
2, 36, 2734, 2805
2, 37, 2780, 2674
2, 38, 2706, 2728
2, 39, 2836, 2577
2, 40, 2274, 2508
2, 41, 2723, 2318
2, 42, 2785, 2410
2, 43, 2297, 2249
2, 44, 3359, 2407
2, 45, 2710, 2639
2, 46, 2751, 2850
2, 47, 2694, 2269
2, 48, 2738, 2717
2, 49, 2738, 3130
2, 50, 4246, 2228
4, 1, 2353, 2876
4, 2, 2496, 1748
4, 3, 2083, 2284
4, 4, 2469, 2639
4, 5, 2512, 2220
4, 6, 2461, 2685
4, 7, 2535, 2661
4, 8, 2655, 2638
4, 9, 2640, 2669
4, 10, 2554, 2658
4, 11, 2281, 2218
4, 12, 2314, 2637
4, 13, 2774, 2725
4, 14, 2603, 2644
4, 15, 2574, 2277
4, 16, 2530, 2249
4, 17, 3973, 2309
4, 18, 2413, 2640
4, 19, 2504, 2285
4, 20, 2643, 2910
4, 21, 2627, 2637
4, 22, 4249, 2285
4, 23, 3776, 6737
4, 24, 2409, 1752
4, 25, 2410, 1749
4, 26, 2723, 2665
4, 27, 2622, 2838
4, 28, 2816, 2666
4, 29, 2504, 2792
4, 30, 5416, 2639
4, 31, 2789, 2230
4, 32, 2667, 2538
4, 33, 2659, 2246
4, 34, 2500, 2639
4, 35, 2426, 2218
4, 36, 2657, 2665
4, 37, 3054, 2643
4, 38, 6778, 1736
4, 39, 2909, 2304
4, 40, 2525, 2236
4, 41, 2672, 2640
4, 42, 2679, 2671
4, 43, 2594, 2724
4, 44, 2614, 2637
4, 45, 2325, 2639
4, 46, 2255, 2658
4, 47, 2590, 2672
4, 48, 2586, 2640
4, 49, 2669, 2243
4, 50, 2517, 2224
8, 1, 3143, 2220
8, 2, 2661, 2326
8, 3, 2426, 2774
8, 4, 8032, 6972
8, 5, 2880, 1746
8, 6, 2153, 2685
8, 7, 2730, 2696
8, 8, 2453, 2622
8, 9, 2384, 2298
8, 10, 2551, 2646
8, 11, 2742, 2207
8, 12, 2454, 2735
8, 13, 2886, 2689
8, 14, 2533, 2624
8, 15, 2424, 2219
8, 16, 2561, 2662
8, 17, 2891, 2704
8, 18, 2716, 2621
8, 19, 2632, 2243
8, 20, 6138, 2639
8, 21, 2746, 2219
8, 22, 2681, 2638
8, 23, 2851, 2656
8, 24, 2909, 2625
8, 25, 2832, 2687
8, 26, 2774, 2261
8, 27, 2505, 2687
8, 28, 2438, 2627
8, 29, 2708, 2509
8, 30, 2688, 2224
8, 31, 2617, 2636
8, 32, 3657, 2643
8, 33, 6002, 1744
8, 34, 2397, 2619
8, 35, 2556, 2635
8, 36, 2576, 2712
8, 37, 5434, 2636
8, 38, 2835, 2626
8, 39, 2812, 2659
8, 40, 3938, 2229
8, 41, 2520, 2716
8, 42, 2748, 2647
8, 43, 2879, 2640
8, 44, 2732, 2788
8, 45, 3336, 2366
8, 46, 2493, 2640
8, 47, 2698, 2662
8, 48, 7603, 2650
8, 49, 2886, 2666
8, 50, 2367, 1753
16, 1, 3647, 2625
16, 2, 3588, 2515
16, 3, 7119, 2217
16, 4, 2977, 2761
16, 5, 3098, 2692
16, 6, 2312, 2642
16, 7, 2638, 2657
16, 8, 2881, 2554
16, 9, 2893, 2218
16, 10, 2734, 2662
16, 11, 2863, 2274
16, 12, 2850, 3223
16, 13, 4529, 1726
16, 14, 2257, 5078
16, 15, 7072, 1725
16, 16, 17949, 1731
16, 17, 6267, 2273
16, 18, 8990, 1956
16, 19, 6712, 1727
16, 20, 6241, 1728
16, 21, 16840, 1812
16, 22, 13720, 1776
16, 23, 2617, 1756
16, 24, 3573, 6063
16, 25, 3665, 2271
16, 26, 2578, 1763
16, 27, 3550, 4971
16, 28, 6346, 1778
