nroThreads, iteracion, tiempoParal, tiempoSecu
1, 1, 5976, 2727
1, 2, 2845, 2654
1, 3, 2844, 2623
1, 4, 2860, 2659
1, 5, 2838, 2650
1, 6, 2848, 2632
1, 7, 2442, 2640
1, 8, 2401, 2224
1, 9, 2810, 2202
1, 10, 2858, 2634
2, 1, 2641, 2645
2, 2, 2653, 2620
2, 3, 2624, 2202
2, 4, 2612, 2324
2, 5, 3588, 2620
2, 6, 2675, 2649
2, 7, 2611, 2230
2, 8, 2885, 2323
2, 9, 2713, 2620
2, 10, 2728, 2709
4, 1, 3095, 2692
4, 2, 5805, 1725
4, 3, 4429, 2641
4, 4, 2453, 2618
4, 5, 2823, 2638
4, 6, 2762, 2642
4, 7, 2561, 2625
4, 8, 2694, 1723
4, 9, 2664, 2660
4, 10, 2735, 2421
8, 1, 6351, 2204
8, 2, 2710, 2206
8, 3, 2796, 2643
8, 4, 2963, 2652
8, 5, 2780, 2625
8, 6, 3701, 2213
8, 7, 2469, 2626
8, 8, 5229, 2625
8, 9, 5288, 2659
8, 10, 2596, 6956
16, 1, 3788, 1722
16, 2, 4304, 1740
16, 3, 2404, 2651
16, 4, 3023, 2205
16, 5, 2908, 2671
16, 6, 3254, 2647
16, 7, 6225, 2205
16, 8, 5926, 2699
16, 9, 3053, 1730
16, 10, 2420, 2654
32, 1, 3415, 2207
32, 2, 3217, 2227
32, 3, 3493, 2661
32, 4, 3302, 2735
32, 5, 2955, 2653
32, 6, 3455, 2646
32, 7, 3238, 2667
32, 8, 3381, 1738
32, 9, 3625, 2232
32, 10, 3548, 2625
64, 1, 4643, 2323
64, 2, 4752, 2256
64, 3, 6955, 1726
64, 4, 4603, 2357
64, 5, 4655, 2648
64, 6, 11290, 1741
64, 7, 6469, 2290
64, 8, 4182, 2684
64, 9, 4391, 2283
64, 10, 3733, 1740
