nroThreads, iteracion, tiempoParal, tiempoSecu
1, 1, 18561, 28162
1, 2, 16539, 15326
1, 3, 16757, 18146
1, 4, 24931, 21422
1, 5, 15617, 15826
1, 6, 21433, 22699
1, 7, 16594, 26799
1, 8, 21076, 24232
1, 9, 16050, 21724
1, 10, 15834, 16272
1, 11, 16267, 22633
1, 12, 15969, 23555
1, 13, 16104, 21457
1, 14, 20040, 21497
1, 15, 21734, 17628
1, 16, 16195, 25137
1, 17, 22599, 15121
1, 18, 25103, 21583
1, 19, 16349, 19695
1, 20, 25201, 16857
1, 21, 22648, 22280
1, 22, 16234, 20910
1, 23, 16109, 18644
1, 24, 19867, 35179
1, 25, 15679, 18984
1, 26, 17384, 14750
1, 27, 15314, 14814
1, 28, 26025, 17027
1, 29, 15847, 24043
1, 30, 15480, 14761
1, 31, 16197, 19831
1, 32, 15929, 22210
1, 33, 16433, 23891
1, 34, 23405, 20716
1, 35, 15991, 22179
1, 36, 16167, 20071
1, 37, 21937, 21665
1, 38, 16273, 21489
1, 39, 16170, 21700
1, 40, 16236, 14837
1, 41, 19439, 15171
1, 42, 18485, 15155
1, 43, 22432, 23417
1, 44, 15358, 14517
1, 45, 20290, 19378
1, 46, 16169, 21685
1, 47, 16190, 24259
1, 48, 15942, 20806
1, 49, 24289, 19581
1, 50, 15675, 18861
2, 1, 22422, 22526
2, 2, 20202, 23435
2, 3, 24627, 23854
2, 4, 23007, 14942
2, 5, 21401, 24135
2, 6, 22343, 19908
2, 7, 23303, 16237
2, 8, 30875, 15168
2, 9, 19064, 14981
2, 10, 18458, 18889
2, 11, 21836, 17000
2, 12, 17031, 22686
2, 13, 28160, 15920
2, 14, 15337, 14811
2, 15, 20864, 20191
2, 16, 24795, 22180
2, 17, 21983, 14755
2, 18, 15802, 19814
2, 19, 16227, 16175
2, 20, 17839, 21156
2, 21, 20363, 19413
2, 22, 20795, 14969
2, 23, 18854, 17363
2, 24, 20665, 22624
2, 25, 21828, 21600
2, 26, 15576, 15409
2, 27, 21487, 21206
2, 28, 23075, 22392
2, 29, 24848, 20820
2, 30, 23427, 21521
2, 31, 24710, 24729
2, 32, 17762, 15312
2, 33, 22085, 16237
2, 34, 29818, 19734
2, 35, 19397, 21798
2, 36, 23178, 22272
2, 37, 24631, 21006
2, 38, 23281, 21627
2, 39, 22627, 22138
2, 40, 23146, 23720
2, 41, 22611, 23799
2, 42, 21974, 22154
2, 43, 24854, 15172
2, 44, 16623, 18824
2, 45, 23357, 21138
2, 46, 23365, 21912
2, 47, 22472, 19669
2, 48, 19895, 15015
2, 49, 19486, 26306
2, 50, 18773, 17614
4, 1, 17154, 15004
4, 2, 15792, 15269
4, 3, 19873, 22456
4, 4, 21427, 18860
4, 5, 23231, 22762
4, 6, 23325, 23293
4, 7, 19853, 20815
4, 8, 16395, 23202
4, 9, 21670, 21216
4, 10, 19683, 18641
4, 11, 21772, 15020
4, 12, 25001, 20953
4, 13, 16451, 22381
4, 14, 23962, 24067
4, 15, 23637, 22153
4, 16, 23560, 23129
4, 17, 22503, 21080
4, 18, 24813, 22889
4, 19, 16348, 20914
4, 20, 24409, 24073
4, 21, 26370, 20658
4, 22, 24015, 21871
4, 23, 18695, 22281
4, 24, 22981, 19754
4, 25, 25773, 20034
4, 26, 23758, 21080
4, 27, 24085, 21880
4, 28, 21388, 18591
4, 29, 20147, 22184
4, 30, 22816, 23324
4, 31, 16308, 23345
4, 32, 25281, 19663
4, 33, 21958, 24668
4, 34, 22897, 14956
4, 35, 32336, 17638
4, 36, 27237, 21236
4, 37, 22880, 15586
4, 38, 17295, 15393
4, 39, 22584, 17460
4, 40, 25851, 15152
4, 41, 15287, 14846
4, 42, 16104, 15402
4, 43, 19301, 21393
4, 44, 17984, 14789
4, 45, 15307, 14806
4, 46, 16902, 15411
4, 47, 18674, 15409
4, 48, 17334, 20852
4, 49, 15460, 14823
4, 50, 18209, 22331
8, 1, 16937, 18979
8, 2, 24212, 21302
8, 3, 19752, 14764
8, 4, 15216, 14715
8, 5, 15918, 19893
8, 6, 24472, 18959
8, 7, 15429, 14949
8, 8, 20395, 14855
8, 9, 15381, 14979
8, 10, 15405, 15214
8, 11, 21282, 20046
8, 12, 16888, 22983
8, 13, 19841, 14913
8, 14, 18990, 15024
8, 15, 16077, 20949
8, 16, 15264, 14775
8, 17, 16310, 21698
8, 18, 15350, 14857
8, 19, 16406, 14836
8, 20, 20932, 14782
8, 21, 16467, 19822
8, 22, 21177, 19694
8, 23, 15764, 18566
8, 24, 15914, 14871
8, 25, 16897, 24029
8, 26, 21656, 19869
8, 27, 22987, 20526
8, 28, 16383, 15182
8, 29, 15125, 14702
8, 30, 15344, 18193
8, 31, 17319, 17762
8, 32, 17052, 20669
8, 33, 15673, 23344
8, 34, 16230, 20889
8, 35, 24255, 22732
8, 36, 20445, 15413
8, 37, 17336, 19516
8, 38, 16281, 28976
8, 39, 17974, 15113
8, 40, 16522, 15183
8, 41, 17181, 15075
8, 42, 26142, 15618
8, 43, 29235, 19028
8, 44, 16724, 14897
8, 45, 17708, 14958
8, 46, 16795, 15061
8, 47, 17731, 22075
8, 48, 23805, 15019
8, 49, 16162, 15494
8, 50, 16016, 14931
16, 1, 17009, 15064
16, 2, 20428, 16444
16, 3, 16774, 21513
16, 4, 38859, 16780
16, 5, 16573, 15546
16, 6, 24016, 23954
16, 7, 22974, 18949
16, 8, 17849, 26781
16, 9, 17074, 14890
16, 10, 17193, 20470
16, 11, 19374, 14789
16, 12, 17060, 21240
16, 13, 16917, 19113
16, 14, 16623, 24387
16, 15, 17011, 20427
16, 16, 17033, 22922
16, 17, 17359, 20113
16, 18, 25056, 22239
16, 19, 16629, 22094
16, 20, 16985, 22887
16, 21, 19850, 22743
16, 22, 22894, 23614
16, 23, 16059, 24695
16, 24, 34362, 14756
16, 25, 16175, 17912
16, 26, 16690, 21851
16, 27, 21575, 21794
16, 28, 17953, 21063
16, 29, 22613, 22551
16, 30, 16481, 14742
16, 31, 17750, 23076
16, 32, 19463, 23199
16, 33, 16593, 20070
16, 34, 16059, 20644
16, 35, 15639, 20001
16, 36, 23564, 21578
16, 37, 16430, 22509
16, 38, 15711, 14627
16, 39, 24989, 20594
16, 40, 16921, 22973
16, 41, 16566, 18914
16, 42, 22811, 14883
16, 43, 18240, 15112
16, 44, 20399, 30423
16, 45, 25941, 15448
