nroThreads, iteracion, tiempoParal, tiempoSecu
1, 1, 22204, 22805
1, 2, 19172, 18063
1, 3, 22238, 20671
1, 4, 15946, 14841
1, 5, 25057, 19192
1, 6, 16128, 17418
1, 7, 16104, 21352
1, 8, 16168, 23846
1, 9, 15917, 22393
1, 10, 16187, 25334
2, 1, 24843, 23369
2, 2, 24522, 21438
2, 3, 22523, 21895
2, 4, 21527, 20615
2, 5, 24140, 20022
2, 6, 21120, 20355
2, 7, 22380, 21472
2, 8, 22980, 20996
2, 9, 22051, 14829
2, 10, 23461, 22297
4, 1, 26595, 23468
4, 2, 22177, 20868
4, 3, 23738, 22808
4, 4, 26688, 24109
4, 5, 15401, 14871
4, 6, 21709, 20797
4, 7, 24071, 19198
4, 8, 16561, 20970
4, 9, 21382, 24171
4, 10, 22133, 23271
8, 1, 16219, 15068
8, 2, 17181, 24121
8, 3, 21479, 22368
8, 4, 16343, 23886
8, 5, 21405, 15250
8, 6, 15503, 15229
8, 7, 15488, 14679
8, 8, 16184, 14653
8, 9, 17787, 14958
8, 10, 22226, 20885
16, 1, 17839, 19904
16, 2, 24162, 19984
16, 3, 20808, 20224
16, 4, 16754, 22385
16, 5, 23798, 20488
16, 6, 17734, 27633
16, 7, 18964, 15241
16, 8, 19347, 21023
16, 9, 17036, 15290
16, 10, 20888, 20464
32, 1, 15572, 15030
32, 2, 15758, 19303
32, 3, 22331, 19327
32, 4, 20862, 15300
32, 5, 20157, 20520
32, 6, 17669, 20648
32, 7, 15810, 15145
32, 8, 17288, 21146
32, 9, 19963, 23390
32, 10, 18932, 15866
64, 1, 17524, 18714
64, 2, 19962, 27761
64, 3, 24272, 20268
64, 4, 20430, 22520
64, 5, 19829, 19601
64, 6, 18510, 20190
64, 7, 18190, 19414
64, 8, 17326, 19048
64, 9, 17106, 18918
64, 10, 19786, 20629
128, 1, 19338, 18854
128, 2, 20740, 14756
128, 3, 19340, 18007
128, 4, 17383, 22299
128, 5, 19501, 18862
128, 6, 18925, 17692
128, 7, 18561, 18996
128, 8, 18805, 18829
128, 9, 23652, 19130
128, 10, 19697, 18888
