nroThreads, iteracion, tiempoParal, tiempoSecu
1, 1, 268648, 259294
1, 2, 281867, 280399
1, 3, 281499, 274225
1, 4, 291797, 262807
1, 5, 272951, 265415
1, 6, 274356, 267384
1, 7, 280640, 262339
1, 8, 281498, 266792
1, 9, 292755, 263008
1, 10, 273862, 265959
1, 11, 280828, 283594
1, 12, 284269, 264455
1, 13, 283753, 263337
1, 14, 282911, 265277
1, 15, 283163, 262165
1, 16, 282074, 264964
1, 17, 284719, 265697
1, 18, 280156, 262228
1, 19, 279013, 265773
1, 20, 285711, 262139
1, 21, 277875, 274520
1, 22, 284625, 264021
1, 23, 280070, 260678
1, 24, 279770, 263544
1, 25, 282132, 265442
1, 26, 285181, 267406
1, 27, 282027, 262048
1, 28, 290832, 263511
1, 29, 271429, 267431
1, 30, 282360, 269293
1, 31, 273625, 260513
1, 32, 278003, 264500
1, 33, 272841, 273204
1, 34, 280517, 263501
1, 35, 283742, 269592
1, 36, 284573, 266092
1, 37, 281987, 262997
1, 38, 281286, 275290
1, 39, 276355, 264191
1, 40, 278904, 264354
1, 41, 282249, 274179
1, 42, 274035, 261330
1, 43, 280157, 263402
1, 44, 275698, 266075
1, 45, 276699, 268715
1, 46, 278647, 260086
1, 47, 279005, 263183
1, 48, 285909, 267405
1, 49, 280377, 260607
1, 50, 276734, 264636
2, 1, 279004, 266511
2, 2, 276265, 265458
2, 3, 272109, 270599
2, 4, 274126, 262224
2, 5, 276661, 263870
2, 6, 277211, 265425
2, 7, 282973, 259001
2, 8, 278888, 262545
2, 9, 269899, 264971
2, 10, 278939, 263758
2, 11, 277445, 263175
2, 12, 277172, 263187
2, 13, 278491, 266035
2, 14, 273805, 264813
2, 15, 281406, 262325
2, 16, 279215, 266512
2, 17, 279896, 266270
2, 18, 275771, 270855
2, 19, 279596, 264507
2, 20, 276536, 263141
2, 21, 278217, 268186
2, 22, 279835, 264514
2, 23, 277810, 266976
2, 24, 280182, 263656
2, 25, 279425, 266773
2, 26, 277864, 269846
2, 27, 280252, 265712
2, 28, 279688, 263946
2, 29, 278998, 265009
2, 30, 279544, 264887
2, 31, 279968, 263447
2, 32, 273426, 263784
2, 33, 281901, 267097
2, 34, 278847, 263061
