nroThreads, iteracion, tiempoParal, tiempoSecu
1, 1, 280294, 265638
1, 2, 281654, 265856
1, 3, 281456, 262914
1, 4, 289601, 270077
1, 5, 280002, 265581
1, 6, 281873, 262904
1, 7, 276208, 264141
1, 8, 275488, 264756
1, 9, 280753, 263241
1, 10, 281978, 262944
2, 1, 277526, 280809
2, 2, 270428, 259141
2, 3, 307742, 275738
2, 4, 274215, 264454
2, 5, 283990, 266100
2, 6, 282720, 261422
2, 7, 276704, 270709
2, 8, 275022, 262335
2, 9, 287309, 276660
2, 10, 281569, 268205
4, 1, 275586, 261457
4, 2, 272840, 274638
4, 3, 272539, 270229
4, 4, 287819, 268270
4, 5, 277259, 271073
4, 6, 281918, 268728
4, 7, 279897, 272666
4, 8, 279978, 274244
4, 9, 275506, 269250
4, 10, 277483, 266272
8, 1, 273051, 269669
8, 2, 272330, 264898
8, 3, 277511, 262461
8, 4, 272166, 269774
8, 5, 271215, 271012
8, 6, 276244, 265658
8, 7, 273986, 267981
8, 8, 273338, 262193
8, 9, 268793, 262395
8, 10, 272018, 269367
16, 1, 269991, 263356
16, 2, 267247, 260438
16, 3, 264492, 258092
16, 4, 275511, 282683
16, 5, 268832, 276527
16, 6, 280713, 282905
16, 7, 278108, 268099
16, 8, 269445, 264453
16, 9, 274633, 262453
16, 10, 270667, 258824
32, 1, 291055, 270155
32, 2, 287618, 281850
32, 3, 280632, 262260
32, 4, 265208, 259452
32, 5, 271148, 266226
32, 6, 290281, 270185
32, 7, 283696, 270060
32, 8, 270207, 273774
32, 9, 275839, 284744
32, 10, 277854, 285142
64, 1, 285891, 276595
64, 2, 270921, 274165
64, 3, 268141, 266196
64, 4, 264993, 260712
64, 5, 264638, 263952
64, 6, 270506, 262933
64, 7, 262934, 266128
64, 8, 267268, 262772
64, 9, 265507, 262806
64, 10, 285948, 260759
128, 1, 265822, 266104
128, 2, 263960, 264324
128, 3, 285393, 262875
128, 4, 260875, 263844
128, 5, 279103, 261855
128, 6, 272009, 259709
128, 7, 267482, 261550
128, 8, 268735, 277111
128, 9, 265709, 264747
128, 10, 266009, 260991
256, 1, 261963, 262493
256, 2, 266908, 262217
256, 3, 259181, 261481
256, 4, 261660, 271137
256, 5, 257295, 261240
256, 6, 266418, 260979
256, 7, 286001, 260951
256, 8, 260886, 265259
256, 9, 263814, 262609
256, 10, 266632, 262267
512, 1, 264625, 266552
512, 2, 291443, 291714
512, 3, 266219, 263972
512, 4, 267934, 262853
512, 5, 266365, 260388
512, 6, 259512, 260370
512, 7, 252353, 265666
512, 8, 253362, 264500
512, 9, 298646, 260272
512, 10, 259554, 258646
