nroThreads, iteracion, tiempoParal, tiempoSecu
1, 1, 224, 212
1, 2, 122, 42
1, 3, 96, 53
1, 4, 102, 40
1, 5, 87, 40
1, 6, 86, 40
1, 7, 86, 40
1, 8, 86, 39
1, 9, 86, 39
1, 10, 86, 39
1, 11, 86, 39
1, 12, 87, 40
1, 13, 85, 40
1, 14, 86, 39
1, 15, 85, 40
1, 16, 85, 40
1, 17, 86, 39
1, 18, 86, 39
1, 19, 86, 39
1, 20, 86, 40
1, 21, 85, 40
1, 22, 86, 40
1, 23, 843, 46
1, 24, 2116, 46
1, 25, 117, 42
1, 26, 88, 40
1, 27, 87, 40
1, 28, 86, 40
1, 29, 86, 39
1, 30, 86, 39
1, 31, 85, 39
1, 32, 87, 39
1, 33, 85, 39
1, 34, 85, 39
1, 35, 85, 40
1, 36, 87, 39
1, 37, 85, 39
1, 38, 86, 39
1, 39, 86, 39
1, 40, 88, 40
1, 41, 90, 40
1, 42, 94, 39
1, 43, 93, 39
1, 44, 591, 44
1, 45, 110, 40
1, 46, 94, 39
1, 47, 94, 39
1, 48, 97, 39
1, 49, 94, 39
1, 50, 93, 39
2, 1, 158, 41
2, 2, 1845, 51
2, 3, 126, 48
2, 4, 116, 48
2, 5, 119, 48
2, 6, 118, 47
2, 7, 119, 47
2, 8, 117, 48
2, 9, 117, 48
2, 10, 118, 47
2, 11, 113, 47
2, 12, 118, 48
2, 13, 119, 48
2, 14, 117, 48
2, 15, 121, 48
2, 16, 117, 48
2, 17, 118, 48
2, 18, 115, 48
2, 19, 116, 48
2, 20, 118, 48
2, 21, 116, 48
2, 22, 118, 48
2, 23, 147, 48
2, 24, 7738, 46
2, 25, 4169, 53
2, 26, 3934, 51
2, 27, 133, 33
2, 28, 120, 32
2, 29, 175, 31
2, 30, 340, 35
2, 31, 265, 32
2, 32, 163, 32
2, 33, 156, 32
2, 34, 160, 32
2, 35, 156, 31
2, 36, 303, 31
2, 37, 166, 31
2, 38, 158, 31
2, 39, 156, 31
2, 40, 154, 31
2, 41, 156, 32
2, 42, 157, 32
2, 43, 183, 31
2, 44, 593, 35
2, 45, 193, 33
2, 46, 160, 31
2, 47, 411, 33
2, 48, 264, 33
2, 49, 2150, 45
2, 50, 164, 40
4, 1, 332, 41
4, 2, 7433, 45
4, 3, 387, 43
4, 4, 335, 32
4, 5, 312, 32
4, 6, 818, 34
4, 7, 326, 32
4, 8, 348, 32
4, 9, 373, 33
4, 10, 343, 32
4, 11, 390, 33
4, 12, 3744, 36
4, 13, 3945, 34
4, 14, 279, 32
4, 15, 244, 32
4, 16, 247, 32
4, 17, 243, 32
4, 18, 239, 32
4, 19, 250, 32
4, 20, 236, 32
4, 21, 1066, 35
4, 22, 1468, 36
4, 23, 276, 41
4, 24, 279, 41
4, 25, 300, 40
4, 26, 272, 41
4, 27, 297, 40
4, 28, 268, 41
4, 29, 271, 41
4, 30, 268, 41
4, 31, 267, 41
4, 32, 327, 44
4, 33, 167, 41
4, 34, 162, 41
4, 35, 158, 40
4, 36, 161, 41
4, 37, 155, 41
4, 38, 162, 40
4, 39, 161, 40
4, 40, 162, 40
4, 41, 160, 40
4, 42, 160, 40
4, 43, 160, 41
4, 44, 161, 40
4, 45, 163, 41
4, 46, 170, 41
4, 47, 160, 41
4, 48, 161, 41
4, 49, 161, 53
4, 50, 165, 41
8, 1, 3974, 45
8, 2, 3831, 35
8, 3, 379, 34
8, 4, 3819, 51
8, 5, 783, 35
8, 6, 607, 34
8, 7, 595, 33
8, 8, 597, 34
8, 9, 587, 33
8, 10, 512, 34
8, 11, 731, 34
8, 12, 452, 33
8, 13, 486, 33
8, 14, 618, 33
8, 15, 1143, 33
8, 16, 336, 35
8, 17, 364, 43
8, 18, 3263, 45
8, 19, 7840, 34
8, 20, 763, 33
8, 21, 490, 33
8, 22, 484, 33
8, 23, 466, 33
8, 24, 458, 33
8, 25, 454, 33
8, 26, 490, 33
8, 27, 464, 33
8, 28, 459, 33
8, 29, 456, 33
8, 30, 453, 34
8, 31, 468, 33
8, 32, 460, 33
8, 33, 471, 33
8, 34, 471, 32
8, 35, 3685, 34
8, 36, 370, 34
8, 37, 348, 35
8, 38, 340, 34
8, 39, 345, 34
8, 40, 351, 34
8, 41, 347, 33
8, 42, 419, 33
8, 43, 344, 34
8, 44, 349, 35
8, 45, 373, 35
8, 46, 3819, 34
8, 47, 349, 34
8, 48, 418, 34
8, 49, 363, 34
8, 50, 354, 34
