nroThreads, iteracion, tiempoParal, tiempoSecu
1, 1, 236, 55
1, 2, 118, 51
1, 3, 101, 48
1, 4, 97, 47
1, 5, 97, 48
1, 6, 98, 47
1, 7, 98, 48
1, 8, 98, 47
1, 9, 99, 47
1, 10, 97, 47
2, 1, 154, 118
2, 2, 867, 52
2, 3, 137, 48
2, 4, 117, 48
2, 5, 119, 47
2, 6, 117, 47
2, 7, 116, 47
2, 8, 116, 47
2, 9, 116, 47
2, 10, 115, 47
4, 1, 10463, 55
4, 2, 289, 134
4, 3, 405, 35
4, 4, 272, 33
4, 5, 329, 32
4, 6, 315, 32
4, 7, 320, 32
4, 8, 331, 31
4, 9, 351, 32
4, 10, 301, 32
8, 1, 740, 34
8, 2, 862, 139
8, 3, 6144, 44
8, 4, 650, 52
8, 5, 3772, 53
8, 6, 7696, 36
8, 7, 691, 34
8, 8, 638, 34
8, 9, 651, 34
8, 10, 629, 34
