nroThreads, iteracion, tiempoParal, tiempoSecu
1, 1, 2086, 1827
1, 2, 1954, 1825
1, 3, 1970, 1826
1, 4, 1951, 1826
1, 5, 1946, 1826
1, 6, 1945, 1837
1, 7, 1944, 1830
1, 8, 1941, 1831
1, 9, 1945, 1832
1, 10, 1939, 1832
1, 11, 1942, 1832
1, 12, 1946, 1831
1, 13, 1946, 1830
1, 14, 1945, 1825
1, 15, 1950, 1825
1, 16, 1952, 1810
1, 17, 1880, 1783
1, 18, 1890, 1778
1, 19, 1891, 1779
1, 20, 1888, 1777
1, 21, 1889, 1782
1, 22, 1884, 1784
1, 23, 1887, 1784
1, 24, 1886, 1783
1, 25, 1885, 1783
1, 26, 1886, 1782
1, 27, 1882, 1780
1, 28, 1886, 1780
1, 29, 1889, 1778
1, 30, 1881, 1780
1, 31, 1895, 1778
1, 32, 1923, 1779
1, 33, 1929, 1780
1, 34, 1892, 1784
1, 35, 1885, 1782
1, 36, 1884, 1783
1, 37, 1885, 1785
1, 38, 1885, 1784
1, 39, 1884, 1784
1, 40, 1884, 1779
1, 41, 1895, 1779
1, 42, 1881, 1778
1, 43, 1888, 1779
1, 44, 1890, 1779
1, 45, 1890, 1779
1, 46, 1888, 1779
1, 47, 1886, 1782
1, 48, 1885, 1784
1, 49, 1884, 1784
1, 50, 1890, 1784
2, 1, 1979, 1784
2, 2, 1973, 1819
2, 3, 1973, 1778
2, 4, 1939, 1779
2, 5, 1954, 1779
2, 6, 1920, 1778
2, 7, 2007, 1781
2, 8, 1968, 1779
2, 9, 2010, 1778
2, 10, 2015, 1779
2, 11, 2011, 1778
2, 12, 2013, 1778
2, 13, 1966, 1821
2, 14, 1968, 1821
2, 15, 1969, 1783
2, 16, 1968, 1822
2, 17, 1967, 1818
2, 18, 1959, 1820
2, 19, 1963, 1821
2, 20, 1968, 1821
2, 21, 1924, 1779
2, 22, 1932, 1779
2, 23, 1927, 1779
2, 24, 1926, 1778
2, 25, 2006, 1779
2, 26, 1990, 1778
2, 27, 2011, 1780
2, 28, 2009, 1779
2, 29, 2017, 1780
2, 30, 1994, 1793
2, 31, 1962, 1819
2, 32, 1978, 1822
2, 33, 1965, 1818
2, 34, 1966, 1820
2, 35, 1963, 1820
2, 36, 1973, 1819
2, 37, 1970, 1821
2, 38, 1974, 1821
2, 39, 1965, 1779
2, 40, 2013, 1778
2, 41, 1899, 1780
2, 42, 1972, 1779
2, 43, 1968, 1779
2, 44, 1974, 1779
2, 45, 2023, 1778
2, 46, 2017, 1778
2, 47, 2009, 1778
2, 48, 2008, 1780
2, 49, 1964, 1783
2, 50, 1970, 1824
4, 1, 1987, 1825
4, 2, 1967, 1824
4, 3, 1964, 1821
4, 4, 1960, 1823
4, 5, 1946, 1821
4, 6, 1964, 1824
4, 7, 1929, 1809
4, 8, 1980, 1779
4, 9, 1888, 1780
4, 10, 1950, 1780
4, 11, 1940, 1778
4, 12, 1991, 1779
4, 13, 1978, 1777
4, 14, 2009, 1778
4, 15, 2008, 1778
4, 16, 2011, 1778
4, 17, 1971, 1821
4, 18, 1965, 1823
4, 19, 1965, 1822
4, 20, 1863, 1825
4, 21, 1921, 1825
4, 22, 1923, 1822
4, 23, 1915, 1826
4, 24, 1886, 1781
4, 25, 1877, 1780
4, 26, 1895, 1781
4, 27, 1948, 1780
4, 28, 1870, 1783
4, 29, 1960, 1782
4, 30, 1929, 1781
4, 31, 1998, 1782
4, 32, 1866, 1825
4, 33, 1871, 1818
4, 34, 1932, 1823
4, 35, 1927, 1820
4, 36, 1921, 1825
4, 37, 1862, 1822
4, 38, 1866, 1781
4, 39, 1998, 1782
4, 40, 1839, 1782
4, 41, 1844, 1783
4, 42, 1867, 1780
4, 43, 1984, 1781
4, 44, 1995, 1781
4, 45, 1902, 1782
4, 46, 1860, 1822
4, 47, 1869, 1820
4, 48, 1865, 1820
4, 49, 1868, 1819
4, 50, 1867, 1819
8, 1, 2086, 1820
8, 2, 1902, 1811
8, 3, 1818, 1781
8, 4, 1783, 1781
8, 5, 1934, 1784
8, 6, 2082, 1827
8, 7, 1960, 1830
8, 8, 1819, 1827
8, 9, 1941, 1829
8, 10, 1887, 1828
8, 11, 1930, 1831
8, 12, 2078, 1841
8, 13, 1993, 1831
8, 14, 2023, 1835
8, 15, 1929, 1833
8, 16, 1876, 1836
8, 17, 1991, 1834
8, 18, 2029, 1838
8, 19, 1977, 1833
8, 20, 1943, 1831
8, 21, 1881, 1829
8, 22, 1776, 1831
8, 23, 1782, 1830
8, 24, 1944, 1827
8, 25, 1933, 1829
8, 26, 1815, 1828
8, 27, 1967, 1828
8, 28, 1868, 1831
8, 29, 2048, 1836
8, 30, 1842, 1833
8, 31, 1939, 1836
8, 32, 1871, 1833
8, 33, 1961, 1835
8, 34, 2058, 1834
8, 35, 1916, 1835
8, 36, 1870, 1829
8, 37, 1831, 1827
8, 38, 1779, 1828
8, 39, 1939, 1827
8, 40, 1893, 1827
8, 41, 1899, 1827
8, 42, 1884, 1828
8, 43, 1993, 1828
8, 44, 1870, 1832
8, 45, 1976, 1835
8, 46, 1895, 1834
8, 47, 1912, 1837
8, 48, 1888, 1833
8, 49, 1890, 1833
8, 50, 2087, 1836
16, 1, 2023, 1833
16, 2, 1848, 1832
16, 3, 1791, 1829
16, 4, 1722, 1827
16, 5, 1781, 1828
16, 6, 1824, 1829
16, 7, 1771, 1825
16, 8, 1795, 1835
16, 9, 1956, 1842
16, 10, 1879, 1833
