nroThreads, iteracion, tiempoParal, tiempoSecu
1, 1, 1945, 1978
1, 2, 2113, 2056
1, 3, 2295, 2204
1, 4, 2547, 2403
1, 5, 2533, 2403
1, 6, 2539, 2407
1, 7, 2531, 2410
1, 8, 2532, 2401
1, 9, 2537, 2403
1, 10, 2535, 2410
2, 1, 2495, 2409
2, 2, 2521, 2409
2, 3, 2539, 2403
2, 4, 2521, 2410
2, 5, 2259, 2117
2, 6, 2226, 2118
2, 7, 2187, 1888
2, 8, 1998, 1838
2, 9, 1902, 1790
2, 10, 1902, 1791
4, 1, 1976, 1830
4, 2, 2026, 1788
4, 3, 2037, 1788
4, 4, 1846, 1787
4, 5, 1870, 1788
4, 6, 2031, 1788
4, 7, 1997, 1786
4, 8, 2044, 1787
4, 9, 2080, 1787
4, 10, 2087, 1788
8, 1, 2327, 1787
8, 2, 1838, 1788
8, 3, 1858, 1832
8, 4, 1897, 1830
8, 5, 1947, 1829
8, 6, 1943, 1830
8, 7, 2083, 1833
8, 8, 1894, 1827
8, 9, 2019, 1833
8, 10, 2023, 1829
16, 1, 1941, 1826
16, 2, 1878, 1835
16, 3, 1739, 1835
16, 4, 1678, 1834
16, 5, 1704, 1835
16, 6, 1866, 1836
16, 7, 1822, 1835
16, 8, 1819, 1842
16, 9, 1757, 1840
16, 10, 1918, 1847
32, 1, 1824, 1842
32, 2, 12208, 1993
32, 3, 2017, 1993
32, 4, 1942, 1992
32, 5, 1848, 1993
32, 6, 1832, 1993
32, 7, 2333, 1993
32, 8, 1819, 1994
32, 9, 6164, 2118
32, 10, 2044, 2179
64, 1, 2305, 2178
64, 2, 13440, 2406
64, 3, 2730, 2410
64, 4, 2504, 2417
64, 5, 2582, 2405
64, 6, 2806, 2403
64, 7, 2492, 2412
64, 8, 2503, 2410
64, 9, 2916, 2407
64, 10, 7095, 2415
