nroThreads, iteracion, tiempoParal, tiempoSecu
1, 1, 31460, 23474
1, 2, 17469, 17039
1, 3, 17348, 16264
1, 4, 16565, 16269
1, 5, 16592, 16292
1, 6, 16609, 16269
1, 7, 16582, 16272
1, 8, 16610, 16299
1, 9, 16579, 16323
1, 10, 16614, 16306
1, 11, 16641, 16271
1, 12, 16639, 16302
1, 13, 16561, 16269
1, 14, 16610, 16271
1, 15, 16607, 16354
1, 16, 16583, 16268
1, 17, 16580, 16298
1, 18, 16594, 16310
1, 19, 16585, 16263
1, 20, 16623, 16323
1, 21, 16705, 16323
1, 22, 16562, 16310
1, 23, 16616, 16277
1, 24, 16615, 16325
1, 25, 16586, 16273
1, 26, 16569, 16282
1, 27, 16615, 16303
1, 28, 16584, 16266
1, 29, 16591, 16301
1, 30, 16615, 16353
1, 31, 16619, 16302
1, 32, 16590, 16273
1, 33, 16613, 16302
1, 34, 16587, 16270
1, 35, 16565, 16277
1, 36, 16613, 16297
1, 37, 16586, 16268
1, 38, 16589, 16272
1, 39, 16588, 16299
1, 40, 16588, 16361
1, 41, 16656, 16316
1, 42, 16645, 16297
1, 43, 16614, 16277
1, 44, 16565, 16337
1, 45, 16615, 16293
1, 46, 16643, 16277
1, 47, 16589, 16274
1, 48, 16589, 16327
1, 49, 16591, 16269
1, 50, 16588, 16336
2, 1, 16725, 16340
2, 2, 16664, 16309
2, 3, 16681, 16334
2, 4, 16641, 16331
2, 5, 16701, 16307
2, 6, 16632, 16307
2, 7, 16645, 16334
2, 8, 16672, 16307
2, 9, 16645, 16309
2, 10, 16730, 16337
2, 11, 16732, 16303
2, 12, 16698, 16304
2, 13, 16697, 16334
2, 14, 16669, 16300
2, 15, 16715, 16302
2, 16, 16654, 16336
2, 17, 16731, 16302
2, 18, 16653, 16306
2, 19, 16640, 16334
2, 20, 16728, 16340
2, 21, 16683, 16313
2, 22, 16701, 16337
2, 23, 16680, 16339
2, 24, 16689, 16347
2, 25, 16647, 16344
2, 26, 16782, 16344
2, 27, 16642, 16307
2, 28, 16648, 16337
2, 29, 16639, 16308
2, 30, 16610, 16307
2, 31, 16809, 16372
2, 32, 16569, 16308
2, 33, 16509, 16308
2, 34, 16532, 16336
2, 35, 16545, 16331
2, 36, 16509, 16304
2, 37, 16511, 16330
2, 38, 16520, 16311
2, 39, 16561, 16302
2, 40, 16553, 16309
2, 41, 16568, 16338
2, 42, 16519, 16304
2, 43, 16503, 16306
2, 44, 16528, 16363
2, 45, 16543, 16303
2, 46, 16518, 16308
2, 47, 16534, 16330
2, 48, 16512, 16313
2, 49, 16516, 16279
2, 50, 16585, 16385
4, 1, 16634, 16386
4, 2, 16634, 16360
4, 3, 16660, 16561
4, 4, 16883, 16643
4, 5, 16871, 16608
4, 6, 16879, 16647
4, 7, 16916, 16642
4, 8, 16886, 16646
4, 9, 16905, 16643
4, 10, 16908, 16676
4, 11, 16963, 16628
4, 12, 16579, 16636
4, 13, 16641, 16629
4, 14, 16598, 16596
4, 15, 16558, 16599
4, 16, 16494, 16631
4, 17, 16592, 16678
4, 18, 16565, 16630
4, 19, 16590, 16628
4, 20, 16493, 16671
4, 21, 16602, 16664
4, 22, 16603, 16626
4, 23, 16600, 16631
4, 24, 16580, 16592
4, 25, 16588, 16590
4, 26, 16583, 16633
4, 27, 16523, 16599
4, 28, 16509, 16586
4, 29, 16626, 16664
4, 30, 16496, 16628
4, 31, 16623, 16591
4, 32, 16529, 16633
4, 33, 16591, 16594
4, 34, 16592, 16591
4, 35, 16612, 16629
4, 36, 16533, 16631
4, 37, 16530, 16668
4, 38, 16562, 16628
4, 39, 16556, 16629
4, 40, 16537, 16631
4, 41, 16585, 16594
4, 42, 16767, 16694
4, 43, 16704, 16626
4, 44, 16680, 16633
4, 45, 16708, 16633
4, 46, 16676, 16590
4, 47, 16673, 16592
4, 48, 16691, 16592
4, 49, 16711, 16621
4, 50, 16747, 16659
8, 1, 16673, 16768
8, 2, 16723, 16679
8, 3, 16765, 16711
8, 4, 16766, 16626
8, 5, 16720, 16661
8, 6, 16693, 16668
8, 7, 16725, 16629
8, 8, 16570, 16714
8, 9, 16655, 16629
8, 10, 16811, 16629
8, 11, 16680, 16671
8, 12, 16799, 16663
8, 13, 16798, 16632
8, 14, 16714, 16587
8, 15, 16748, 16663
8, 16, 16768, 16713
8, 17, 16731, 16632
8, 18, 16669, 16621
8, 19, 16733, 16622
8, 20, 16684, 16592
8, 21, 16823, 16625
8, 22, 16514, 16628
8, 23, 16470, 16626
8, 24, 16497, 16660
8, 25, 16467, 16617
8, 26, 16468, 16593
8, 27, 16519, 16619
8, 28, 16550, 16660
8, 29, 16492, 16659
8, 30, 16476, 16665
8, 31, 16526, 16698
8, 32, 16482, 16661
8, 33, 16457, 16626
8, 34, 16435, 16664
8, 35, 16459, 16590
8, 36, 16520, 16662
8, 37, 16532, 16589
8, 38, 16587, 16745
8, 39, 16472, 16711
8, 40, 16422, 16627
8, 41, 16489, 16590
8, 42, 16510, 16623
8, 43, 16520, 16628
8, 44, 16454, 16628
8, 45, 16513, 16668
8, 46, 16387, 16635
8, 47, 16418, 16627
8, 48, 16537, 16699
8, 49, 16515, 16700
8, 50, 16494, 16660
16, 1, 16411, 16707
16, 2, 16459, 16686
16, 3, 16473, 16649
16, 4, 16412, 16647
16, 5, 16531, 16721
16, 6, 16406, 16681
16, 7, 16631, 16646
16, 8, 16667, 16609
16, 9, 16480, 16618
16, 10, 16480, 16642
16, 11, 16446, 16710
16, 12, 16556, 16677
16, 13, 16477, 16683
16, 14, 16432, 16653
16, 15, 16440, 16652
16, 16, 16582, 16680
16, 17, 16657, 16637
16, 18, 16547, 16681
16, 19, 16483, 16648
16, 20, 16570, 16612
16, 21, 16285, 16654
16, 22, 16728, 16684
16, 23, 16567, 16647
16, 24, 16437, 16724
16, 25, 16365, 16686
16, 26, 16566, 16688
16, 27, 16539, 16775
16, 28, 16453, 16727
16, 29, 16536, 16686
16, 30, 16344, 16683
16, 31, 16382, 16689
16, 32, 16382, 16677
16, 33, 16218, 16670
16, 34, 16190, 16595
16, 35, 16187, 16666
16, 36, 16422, 16634
16, 37, 16338, 16593
16, 38, 16155, 16666
16, 39, 16190, 16630
16, 40, 16373, 16676
16, 41, 16338, 16674
16, 42, 16277, 16671
16, 43, 16254, 16627
16, 44, 16122, 16713
16, 45, 16209, 16668
16, 46, 16303, 16665
16, 47, 16313, 16638
16, 48, 16045, 16709
16, 49, 16255, 16620
16, 50, 16213, 16669
32, 1, 15890, 16712
32, 2, 15761, 16632
32, 3, 15475, 16637
32, 4, 15437, 16644
32, 5, 15318, 16627
32, 6, 15381, 16676
32, 7, 15307, 16679
32, 8, 15131, 16300
32, 9, 15557, 16399
32, 10, 15647, 16747
32, 11, 15418, 16747
32, 12, 15505, 16804
32, 13, 15365, 16734
32, 14, 15740, 16732
32, 15, 15423, 16729
32, 16, 15784, 16734
32, 17, 15849, 16647
32, 18, 15438, 16688
32, 19, 15393, 16652
32, 20, 15743, 16688
32, 21, 15767, 16688
32, 22, 15658, 16641
32, 23, 15487, 16718
32, 24, 15288, 16694
32, 25, 15383, 16724
32, 26, 15211, 16765
32, 27, 15524, 16816
32, 28, 15252, 16677
32, 29, 15282, 16359
32, 30, 15163, 16356
32, 31, 15585, 16437
32, 32, 15598, 17049
32, 33, 15638, 16879
32, 34, 16043, 16691
32, 35, 15797, 16653
32, 36, 15783, 16645
32, 37, 15543, 16877
32, 38, 15971, 16609
32, 39, 15715, 16638
32, 40, 15535, 16691
32, 41, 15401, 16655
32, 42, 15379, 16843
32, 43, 15313, 16726
32, 44, 15687, 16709
32, 45, 16141, 16657
32, 46, 16166, 16620
32, 47, 16178, 16626
32, 48, 15983, 16657
32, 49, 15615, 16630
32, 50, 15811, 16797
64, 1, 14847, 16704
64, 2, 14410, 17033
64, 3, 14363, 16735
64, 4, 14524, 17038
64, 5, 14787, 17037
64, 6, 15108, 17021
64, 7, 14537, 17025
64, 8, 14385, 17034
64, 9, 14609, 17026
64, 10, 14203, 17055
64, 11, 15110, 17028
64, 12, 15408, 17033
64, 13, 14732, 17036
64, 14, 14666, 17020
64, 15, 15015, 16750
64, 16, 14651, 16979
64, 17, 14302, 17020
64, 18, 14376, 17030
64, 19, 14982, 17027
64, 20, 14789, 16825
64, 21, 14596, 16694
64, 22, 14778, 16804
64, 23, 14893, 16592
64, 24, 14983, 17036
64, 25, 14231, 17059
64, 26, 14051, 17045
64, 27, 14227, 17047
64, 28, 14654, 17049
64, 29, 14408, 17063
64, 30, 14933, 17063
64, 31, 15038, 17046
64, 32, 14195, 17057
64, 33, 14300, 17059
64, 34, 14733, 16696
64, 35, 14104, 16651
64, 36, 14861, 17042
64, 37, 14681, 17051
64, 38, 14416, 17059
64, 39, 14621, 17062
64, 40, 15109, 17062
64, 41, 14245, 17058
64, 42, 14398, 17056
64, 43, 14192, 17045
64, 44, 14185, 17061
64, 45, 14224, 17054
64, 46, 14608, 17057
64, 47, 14334, 17049
64, 48, 14182, 17051
64, 49, 14270, 17049
64, 50, 14157, 17056
128, 1, 12618, 17062
128, 2, 12892, 16899
128, 3, 13017, 16694
128, 4, 13195, 17075
128, 5, 12403, 17049
128, 6, 12414, 17050
128, 7, 12766, 17019
128, 8, 12674, 17062
128, 9, 22878, 18344
128, 10, 13829, 18493
128, 11, 13999, 16972
128, 12, 12666, 16791
128, 13, 12968, 17061
128, 14, 13003, 17054
128, 15, 12682, 17024
128, 16, 12817, 17063
128, 17, 17870, 17030
128, 18, 13483, 17061
128, 19, 13145, 17062
128, 20, 12915, 17059
128, 21, 23430, 17029
128, 22, 13061, 17027
128, 23, 12652, 17027
128, 24, 13430, 17063
128, 25, 12954, 17030
128, 26, 13490, 17020
128, 27, 20361, 17062
128, 28, 13522, 17063
128, 29, 12868, 17063
128, 30, 12824, 17062
128, 31, 14151, 17026
128, 32, 12752, 17020
128, 33, 13741, 17044
128, 34, 12805, 17030
128, 35, 12950, 17022
128, 36, 16410, 16669
128, 37, 12982, 16803
128, 38, 17491, 16740
128, 39, 16341, 17069
128, 40, 14123, 17023
128, 41, 13751, 17064
128, 42, 13477, 17055
128, 43, 13630, 17064
128, 44, 13615, 17067
128, 45, 13529, 17067
128, 46, 23776, 17025
128, 47, 13901, 17034
128, 48, 13637, 17056
128, 49, 16731, 17059
128, 50, 13763, 17064
