nroThreads, iteracion, tiempoParal, tiempoSecu
1, 1, 20017, 18058
1, 2, 17372, 17045
1, 3, 17397, 16831
1, 4, 16613, 16284
1, 5, 16589, 16314
1, 6, 16611, 16292
1, 7, 16613, 16280
1, 8, 16644, 16311
1, 9, 16581, 16703
1, 10, 16934, 16627
2, 1, 16874, 16342
2, 2, 16673, 16324
2, 3, 16847, 16319
2, 4, 16652, 16351
2, 5, 16615, 16320
2, 6, 16649, 16317
2, 7, 16712, 16340
2, 8, 16630, 16315
2, 9, 16668, 16318
2, 10, 16680, 16349
4, 1, 16664, 16344
4, 2, 16683, 16336
4, 3, 16623, 16368
4, 4, 16596, 16347
4, 5, 16965, 16661
4, 6, 16870, 16656
4, 7, 16862, 16711
4, 8, 16896, 16617
4, 9, 16934, 16692
4, 10, 16949, 16621
8, 1, 16704, 16621
8, 2, 16678, 16664
8, 3, 16821, 16740
8, 4, 16833, 16740
8, 5, 16740, 16699
8, 6, 16770, 16656
8, 7, 16865, 16697
8, 8, 16765, 16661
8, 9, 16821, 16699
8, 10, 16878, 16701
16, 1, 16534, 16705
16, 2, 16540, 16694
16, 3, 16427, 16699
16, 4, 16472, 16741
16, 5, 16450, 16703
16, 6, 16354, 16776
16, 7, 16298, 16742
16, 8, 16649, 16702
16, 9, 16455, 16731
16, 10, 16559, 16918
32, 1, 15273, 16740
32, 2, 15735, 16740
32, 3, 15465, 16669
32, 4, 15743, 16669
32, 5, 15491, 16706
32, 6, 15402, 16698
32, 7, 15451, 16779
32, 8, 15532, 16700
32, 9, 15672, 16697
32, 10, 15291, 16866
64, 1, 14318, 17103
64, 2, 15353, 17099
64, 3, 14282, 16784
64, 4, 17421, 17075
64, 5, 15202, 16783
64, 6, 15779, 16666
64, 7, 15849, 17072
64, 8, 15413, 17052
64, 9, 15065, 17051
64, 10, 15051, 17070
128, 1, 17664, 16882
128, 2, 13527, 16736
128, 3, 23541, 16653
128, 4, 13680, 17062
128, 5, 13452, 17069
128, 6, 13834, 17062
128, 7, 13753, 17057
128, 8, 16378, 17068
128, 9, 13618, 17111
128, 10, 14904, 17055
