nroThreads, iteracion, tiempoParal, tiempoSecu
1, 1, 302737, 298369
1, 2, 301933, 298243
1, 3, 302155, 298126
1, 4, 302087, 298531
1, 5, 302016, 298753
1, 6, 302420, 298446
1, 7, 302162, 298479
1, 8, 302428, 298304
1, 9, 302452, 298538
1, 10, 301997, 298078
1, 11, 302376, 298405
1, 12, 302020, 298176
1, 13, 302090, 298053
1, 14, 301997, 298351
1, 15, 302034, 298146
1, 16, 302320, 298964
1, 17, 301987, 298587
1, 18, 302186, 298205
1, 19, 302437, 298343
1, 20, 302044, 298056
1, 21, 302558, 298330
1, 22, 301946, 298280
1, 23, 302213, 298292
1, 24, 302115, 298641
1, 25, 302038, 298446
1, 26, 302288, 298356
1, 27, 301818, 298233
1, 28, 302050, 300343
1, 29, 302090, 298454
1, 30, 302104, 298261
1, 31, 302450, 298501
1, 32, 302224, 298581
1, 33, 302256, 298113
1, 34, 302695, 298930
1, 35, 301978, 298020
1, 36, 302198, 298440
1, 37, 304579, 298412
1, 38, 302211, 298351
1, 39, 302191, 298509
1, 40, 302329, 298343
1, 41, 302383, 298467
1, 42, 301993, 298575
1, 43, 302282, 298070
1, 44, 302172, 298366
1, 45, 302084, 298281
1, 46, 302168, 298333
1, 47, 301930, 298301
1, 48, 302423, 298110
1, 49, 302153, 298571
1, 50, 302315, 298228
2, 1, 302188, 298390
2, 2, 302075, 298397
2, 3, 302148, 298106
2, 4, 301193, 298348
2, 5, 301805, 298134
2, 6, 301850, 298452
2, 7, 302115, 298747
2, 8, 301923, 298428
2, 9, 302174, 298277
2, 10, 301438, 298013
2, 11, 301613, 298339
2, 12, 301441, 298233
2, 13, 301737, 298024
2, 14, 302165, 298260
2, 15, 301348, 298285
2, 16, 301657, 298359
2, 17, 301517, 298322
2, 18, 302289, 298082
2, 19, 301897, 298306
2, 20, 301719, 298064
2, 21, 302414, 298301
2, 22, 301769, 298289
2, 23, 301657, 298320
2, 24, 301996, 298868
2, 25, 301978, 298120
2, 26, 302450, 298281
2, 27, 301578, 298536
2, 28, 301804, 298288
2, 29, 301043, 298384
2, 30, 301322, 298076
2, 31, 301487, 298300
2, 32, 301186, 298566
2, 33, 301520, 298115
2, 34, 301582, 298369
2, 35, 301405, 298262
2, 36, 301509, 298307
2, 37, 301324, 298358
2, 38, 301604, 298201
2, 39, 301943, 298477
2, 40, 301504, 298007
2, 41, 302113, 298450
2, 42, 302182, 298455
2, 43, 302120, 298095
2, 44, 302093, 298331
2, 45, 301140, 298156
2, 46, 301308, 299581
2, 47, 303191, 298550
2, 48, 302185, 298224
2, 49, 301562, 298530
2, 50, 301136, 298072
4, 1, 300640, 298340
4, 2, 300000, 298757
4, 3, 300346, 297855
4, 4, 301098, 298275
4, 5, 300493, 299799
4, 6, 300119, 298426
4, 7, 300782, 298298
4, 8, 301146, 298259
4, 9, 301029, 298624
4, 10, 300851, 298022
4, 11, 301105, 298388
4, 12, 300722, 298292
4, 13, 300884, 298299
4, 14, 300656, 298298
4, 15, 300944, 298078
4, 16, 301213, 298938
4, 17, 300976, 298589
4, 18, 301880, 298365
4, 19, 300965, 298527
4, 20, 300524, 298051
4, 21, 300648, 298564
4, 22, 301119, 298427
4, 23, 301538, 298176
4, 24, 300965, 298838
4, 25, 300878, 298446
4, 26, 300944, 298429
4, 27, 300174, 298267
4, 28, 300328, 298226
4, 29, 300495, 298535
4, 30, 300785, 297986
4, 31, 301347, 298342
4, 32, 300443, 298349
4, 33, 300874, 298209
4, 34, 301813, 298971
4, 35, 299457, 297995
4, 36, 299629, 298329
