nroThreads, iteracion, tiempoParal, tiempoSecu
1, 1, 302339, 298755
1, 2, 301980, 298707
1, 3, 302093, 298469
1, 4, 302242, 298697
1, 5, 301852, 298723
1, 6, 302154, 298451
1, 7, 302164, 298971
1, 8, 302434, 298401
1, 9, 302285, 298635
1, 10, 301905, 298797
2, 1, 302118, 298470
2, 2, 301686, 298808
2, 3, 301633, 298492
2, 4, 302277, 298686
2, 5, 301967, 298546
2, 6, 302455, 298474
2, 7, 301305, 298692
2, 8, 301444, 298447
2, 9, 301849, 298689
2, 10, 301850, 298926
4, 1, 300877, 298563
4, 2, 303674, 301910
4, 3, 300571, 298433
4, 4, 300971, 299541
4, 5, 300679, 298831
4, 6, 300837, 298440
4, 7, 301143, 298745
4, 8, 301145, 298381
4, 9, 301256, 298669
4, 10, 300200, 298551
8, 1, 299461, 298341
8, 2, 298954, 298760
8, 3, 299209, 298556
8, 4, 299296, 298671
8, 5, 298772, 298586
8, 6, 299128, 298458
8, 7, 299403, 298681
8, 8, 299377, 298428
8, 9, 299630, 298704
8, 10, 299202, 299009
16, 1, 297737, 298609
16, 2, 297186, 299044
16, 3, 296653, 298370
16, 4, 298048, 298751
16, 5, 298142, 298660
16, 6, 298810, 298538
16, 7, 297061, 298763
16, 8, 297242, 298349
16, 9, 297511, 298833
16, 10, 297377, 298716
32, 1, 294267, 298519
32, 2, 293271, 298802
32, 3, 293837, 298469
32, 4, 293425, 298731
32, 5, 293447, 298358
32, 6, 294044, 304795
32, 7, 293814, 298712
32, 8, 294438, 298586
32, 9, 294274, 298822
32, 10, 293643, 298682
64, 1, 287686, 298808
64, 2, 288832, 298807
64, 3, 291746, 298473
64, 4, 290080, 298736
64, 5, 288608, 299375
64, 6, 289504, 298892
64, 7, 287161, 298947
64, 8, 290696, 298713
64, 9, 286639, 298811
64, 10, 287168, 298649
128, 1, 277827, 298656
128, 2, 277872, 298389
128, 3, 279274, 298532
128, 4, 279797, 298938
128, 5, 279988, 298450
128, 6, 278193, 299034
128, 7, 275924, 298521
128, 8, 276562, 298754
128, 9, 279844, 299032
128, 10, 279534, 298541
256, 1, 260756, 299218
256, 2, 256458, 298369
256, 3, 264495, 298728
256, 4, 258005, 298233
256, 5, 260947, 298538
256, 6, 260338, 298573
256, 7, 257725, 298867
256, 8, 261498, 298905
256, 9, 261161, 298472
256, 10, 261267, 298710
512, 1, 237190, 298616
512, 2, 230396, 298949
512, 3, 231371, 298469
512, 4, 228689, 299076
512, 5, 235711, 298439
512, 6, 230412, 298675
512, 7, 228082, 298391
512, 8, 228873, 298731
512, 9, 227032, 298428
512, 10, 229401, 298740
