nroThreads, iteracion, tiempoParal, tiempoSecu
1, 1, 140, 33
1, 2, 83, 28
1, 3, 102, 30
1, 4, 103, 30
1, 5, 102, 30
1, 6, 80, 28
1, 7, 78, 28
1, 8, 76, 27
1, 9, 49, 27
1, 10, 46, 27
1, 11, 46, 27
1, 12, 46, 27
1, 13, 45, 27
1, 14, 45, 27
1, 15, 46, 27
1, 16, 45, 27
1, 17, 45, 27
1, 18, 45, 27
1, 19, 45, 27
1, 20, 45, 27
1, 21, 45, 27
1, 22, 45, 27
1, 23, 46, 27
1, 24, 45, 27
1, 25, 45, 27
1, 26, 45, 27
1, 27, 45, 27
1, 28, 45, 27
1, 29, 46, 27
1, 30, 45, 27
1, 31, 45, 27
1, 32, 44, 27
1, 33, 45, 27
1, 34, 46, 27
1, 35, 45, 27
1, 36, 44, 27
1, 37, 45, 27
1, 38, 46, 27
1, 39, 46, 27
1, 40, 45, 27
1, 41, 44, 27
1, 42, 45, 27
1, 43, 45, 27
1, 44, 45, 27
1, 45, 45, 27
1, 46, 45, 27
1, 47, 44, 27
1, 48, 44, 27
1, 49, 45, 27
1, 50, 45, 27
2, 1, 133, 27
2, 2, 112, 27
2, 3, 112, 27
2, 4, 112, 27
2, 5, 59, 27
2, 6, 55, 27
2, 7, 54, 27
2, 8, 53, 27
2, 9, 53, 27
2, 10, 54, 27
2, 11, 54, 27
2, 12, 54, 27
2, 13, 54, 27
2, 14, 54, 27
2, 15, 54, 27
2, 16, 53, 27
2, 17, 54, 27
2, 18, 54, 27
2, 19, 53, 27
2, 20, 54, 27
2, 21, 55, 27
2, 22, 54, 27
2, 23, 54, 27
2, 24, 78, 27
2, 25, 81, 27
2, 26, 78, 27
2, 27, 75, 27
2, 28, 68, 27
2, 29, 69, 27
2, 30, 69, 27
2, 31, 56, 27
2, 32, 55, 27
2, 33, 54, 27
2, 34, 55, 27
2, 35, 54, 27
2, 36, 53, 27
2, 37, 54, 27
2, 38, 53, 27
2, 39, 53, 27
2, 40, 54, 27
2, 41, 54, 27
2, 42, 53, 27
2, 43, 85, 27
2, 44, 54, 27
2, 45, 55, 30
2, 46, 74, 40
2, 47, 54, 27
2, 48, 53, 27
2, 49, 55, 27
2, 50, 53, 27
4, 1, 71, 28
4, 2, 157, 40
4, 3, 91, 27
4, 4, 130, 27
4, 5, 163, 27
4, 6, 102, 40
4, 7, 161, 27
4, 8, 104, 40
4, 9, 86, 40
4, 10, 91, 40
4, 11, 89, 41
4, 12, 77, 28
4, 13, 119, 28
4, 14, 67, 28
4, 15, 68, 28
4, 16, 67, 28
4, 17, 80, 27
4, 18, 160, 27
4, 19, 153, 27
4, 20, 111, 40
4, 21, 135, 28
4, 22, 68, 28
4, 23, 72, 28
4, 24, 194, 41
4, 25, 86, 28
4, 26, 67, 28
4, 27, 68, 28
4, 28, 68, 28
4, 29, 68, 28
4, 30, 66, 28
4, 31, 67, 28
4, 32, 67, 28
4, 33, 68, 28
4, 34, 67, 28
4, 35, 67, 28
4, 36, 66, 28
4, 37, 73, 28
4, 38, 68, 28
4, 39, 71, 28
4, 40, 68, 28
4, 41, 70, 28
4, 42, 69, 28
4, 43, 68, 28
4, 44, 68, 28
4, 45, 67, 28
4, 46, 67, 28
4, 47, 67, 28
4, 48, 69, 28
4, 49, 68, 28
4, 50, 68, 28
8, 1, 144, 28
8, 2, 190, 29
8, 3, 140, 28
8, 4, 127, 28
8, 5, 143, 29
8, 6, 124, 28
8, 7, 162, 28
8, 8, 122, 28
8, 9, 143, 28
8, 10, 128, 29
8, 11, 142, 28
8, 12, 132, 28
8, 13, 141, 28
8, 14, 134, 28
8, 15, 125, 28
8, 16, 132, 28
8, 17, 124, 28
8, 18, 122, 28
8, 19, 129, 28
8, 20, 122, 28
8, 21, 126, 28
8, 22, 128, 28
8, 23, 124, 28
8, 24, 129, 28
8, 25, 120, 28
8, 26, 122, 28
8, 27, 123, 28
8, 28, 127, 28
8, 29, 150, 28
8, 30, 124, 28
8, 31, 170, 31
8, 32, 147, 30
8, 33, 139, 29
8, 34, 133, 29
8, 35, 138, 29
8, 36, 131, 29
8, 37, 134, 29
8, 38, 131, 29
8, 39, 125, 28
8, 40, 128, 28
8, 41, 136, 28
8, 42, 139, 28
8, 43, 123, 28
8, 44, 137, 28
8, 45, 125, 28
8, 46, 126, 28
8, 47, 144, 28
8, 48, 135, 28
8, 49, 157, 28
8, 50, 127, 28
