nroThreads, iteracion, tiempoParal, tiempoSecu
1, 1, 151, 31
1, 2, 114, 42
1, 3, 112, 42
1, 4, 112, 42
1, 5, 110, 42
1, 6, 79, 40
1, 7, 74, 27
1, 8, 48, 27
1, 9, 46, 27
1, 10, 45, 27
2, 1, 89, 27
2, 2, 79, 27
2, 3, 71, 27
2, 4, 80, 27
2, 5, 74, 39
2, 6, 90, 27
2, 7, 74, 27
2, 8, 56, 27
2, 9, 111, 27
2, 10, 55, 27
4, 1, 108, 40
4, 2, 161, 27
4, 3, 266, 27
4, 4, 182, 28
4, 5, 100, 28
4, 6, 69, 28
4, 7, 69, 28
4, 8, 72, 28
4, 9, 111, 28
4, 10, 96, 28
8, 1, 142, 28
8, 2, 172, 28
8, 3, 7460, 29
8, 4, 417, 30
8, 5, 234, 30
8, 6, 192, 30
8, 7, 202, 29
8, 8, 153, 31
8, 9, 138, 30
8, 10, 140, 29
