nroThreads, iteracion, tiempoParal, tiempoSecu
1, 1, 2865, 1783
1, 2, 6957, 2672
1, 3, 2463, 2695
1, 4, 2854, 2686
1, 5, 2876, 2670
1, 6, 2942, 2717
1, 7, 2978, 2669
1, 8, 2885, 2700
1, 9, 2948, 2724
1, 10, 2868, 2669
1, 11, 2854, 3689
1, 12, 3386, 2696
1, 13, 3106, 2684
1, 14, 2974, 2686
1, 15, 2855, 2722
1, 16, 2912, 2669
1, 17, 2882, 2706
1, 18, 2855, 2681
1, 19, 2884, 2695
1, 20, 2852, 2701
1, 21, 2976, 2668
1, 22, 2865, 2713
1, 23, 3026, 2669
1, 24, 2884, 2689
1, 25, 2855, 2725
1, 26, 2912, 2669
1, 27, 2867, 2716
1, 28, 2938, 2668
1, 29, 2933, 2702
1, 30, 2944, 2723
1, 31, 2920, 2668
1, 32, 2871, 2689
1, 33, 2871, 2669
1, 34, 2955, 2691
1, 35, 2853, 2727
1, 36, 2923, 2685
1, 37, 2925, 2714
1, 38, 2864, 2669
1, 39, 2973, 2710
1, 40, 2854, 2727
1, 41, 2913, 2694
1, 42, 2855, 2681
1, 43, 2876, 2669
1, 44, 2950, 2703
1, 45, 2853, 2682
1, 46, 3002, 2706
1, 47, 2856, 2690
1, 48, 2918, 2680
1, 49, 2869, 2760
1, 50, 2442, 2697
1, 51, 2632, 2745
1, 52, 2876, 2711
1, 53, 2891, 2671
1, 54, 2879, 2691
1, 55, 2823, 2288
1, 56, 2835, 2244
1, 57, 2873, 2684
1, 58, 2904, 2726
1, 59, 2880, 2899
1, 60, 2863, 2757
1, 61, 2909, 2881
1, 62, 2896, 2733
1, 63, 2833, 2364
1, 64, 2908, 2246
1, 65, 2919, 2766
1, 66, 2965, 2681
1, 67, 2630, 2705
1, 68, 2853, 2739
1, 69, 3115, 2682
1, 70, 2457, 2724
1, 71, 2929, 2728
1, 72, 2886, 2710
1, 73, 4137, 3097
1, 74, 2816, 1940
1, 75, 2399, 1777
1, 76, 2588, 3258
1, 77, 2564, 2677
1, 78, 2484, 2876
1, 79, 2519, 3085
1, 80, 2774, 2824
1, 81, 2860, 2725
1, 82, 3278, 2703
1, 83, 2818, 2261
1, 84, 3836, 2710
1, 85, 2798, 2833
1, 86, 3026, 2245
1, 87, 2434, 2867
1, 88, 2135, 2281
1, 89, 1945, 2331
1, 90, 3073, 2249
1, 91, 2948, 2752
1, 92, 3092, 2712
1, 93, 2938, 2250
1, 94, 4017, 2907
1, 95, 2888, 2681
1, 96, 2889, 2727
1, 97, 2558, 2803
1, 98, 2704, 2245
1, 99, 2837, 2565
1, 100, 2904, 2809
1, 101, 2887, 2756
1, 102, 2447, 2734
1, 103, 2600, 2674
1, 104, 2957, 2703
1, 105, 3060, 2295
1, 106, 2934, 2256
1, 107, 2660, 2695
1, 108, 2957, 2702
1, 109, 3068, 2653
1, 110, 2411, 2267
1, 111, 2597, 2265
1, 112, 2867, 2680
1, 113, 3124, 2724
1, 114, 2923, 2680
1, 115, 2525, 2696
1, 116, 2849, 2925
1, 117, 2952, 2245
1, 118, 2433, 2274
1, 119, 2788, 2704
1, 120, 2870, 2670
1, 121, 2948, 2695
1, 122, 2863, 2302
1, 123, 2819, 2245
1, 124, 2897, 2687
1, 125, 2853, 2686
1, 126, 2881, 2670
1, 127, 2865, 2712
1, 128, 2956, 2671
1, 129, 2916, 2703
1, 130, 2954, 2687
1, 131, 2930, 2693
1, 132, 2856, 2732
1, 133, 2882, 2670
1, 134, 2878, 2694
1, 135, 2922, 2732
1, 136, 2936, 2693
1, 137, 2924, 2257
1, 138, 2829, 2244
1, 139, 2956, 2691
1, 140, 2855, 2720
1, 141, 2879, 2670
1, 142, 2864, 2715
1, 143, 2873, 2903
1, 144, 2944, 2686
1, 145, 2854, 2728
1, 146, 2953, 2671
1, 147, 2876, 2714
1, 148, 2964, 2672
1, 149, 2462, 2697
1, 150, 2452, 2684
2, 1, 2844, 2671
2, 2, 2905, 2687
2, 3, 2779, 2259
2, 4, 2810, 2245
2, 5, 2831, 2688
2, 6, 2800, 2728
2, 7, 2957, 2671
2, 8, 2876, 2714
2, 9, 2932, 2671
2, 10, 2832, 4997
2, 11, 2910, 2679
2, 12, 2856, 2273
2, 13, 2799, 2733
2, 14, 2523, 2687
2, 15, 2385, 2261
2, 16, 2992, 2245
2, 17, 2899, 2671
2, 18, 2853, 2718
2, 19, 2815, 2670
2, 20, 2821, 2684
2, 21, 2815, 2900
2, 22, 2836, 2671
2, 23, 2933, 2691
2, 24, 2813, 2671
2, 25, 2927, 2686
2, 26, 2875, 2728
2, 27, 2874, 2672
2, 28, 2829, 2287
2, 29, 9068, 2260
2, 30, 2401, 2490
2, 31, 5249, 3194
2, 32, 2019, 1935
2, 33, 2501, 1761
2, 34, 2400, 2256
2, 35, 2538, 2262
2, 36, 2794, 2688
2, 37, 2945, 2668
2, 38, 2902, 2689
2, 39, 2804, 2293
2, 40, 2779, 2245
2, 41, 2829, 2683
2, 42, 2901, 2731
2, 43, 2858, 2903
2, 44, 10864, 1771
2, 45, 8384, 1785
2, 46, 5340, 1770
2, 47, 3061, 1775
2, 48, 3080, 3996
2, 49, 2035, 4247
2, 50, 3637, 3442
2, 51, 2434, 2712
2, 52, 2434, 2736
2, 53, 3124, 2621
2, 54, 3047, 2248
2, 55, 2389, 2398
2, 56, 2794, 2697
2, 57, 2844, 2692
2, 58, 2851, 2672
2, 59, 4391, 2678
2, 60, 2906, 2760
2, 61, 2794, 2267
2, 62, 2886, 2507
2, 63, 2440, 3042
2, 64, 2944, 2776
2, 65, 3109, 2666
2, 66, 8116, 2256
2, 67, 5533, 2414
2, 68, 2448, 2788
2, 69, 2555, 2861
2, 70, 2997, 2909
2, 71, 2841, 2620
2, 72, 2842, 2262
2, 73, 2747, 2670
2, 74, 2736, 2704
2, 75, 2690, 2259
2, 76, 2703, 2244
2, 77, 2766, 2750
2, 78, 2714, 2730
2, 79, 2771, 2762
2, 80, 2727, 2613
2, 81, 2829, 2323
2, 82, 2761, 2670
