nroThreads, iteracion, tiempoParal, tiempoSecu
1, 1, 2867, 1755
1, 2, 2777, 1868
1, 3, 2835, 2647
1, 4, 2852, 2628
1, 5, 2888, 2644
1, 6, 2805, 2261
1, 7, 2889, 2207
1, 8, 3435, 2708
1, 9, 2818, 2211
1, 10, 2815, 2209
2, 1, 2715, 2674
2, 2, 2645, 2765
2, 3, 2656, 2628
2, 4, 2625, 2292
2, 5, 2574, 2226
2, 6, 2670, 2698
2, 7, 2688, 2796
2, 8, 2948, 2266
2, 9, 2596, 2275
2, 10, 2580, 2208
4, 1, 2341, 2659
4, 2, 7844, 2628
4, 3, 2635, 2210
4, 4, 2765, 2656
4, 5, 2818, 2635
4, 6, 2826, 2675
4, 7, 7081, 4049
4, 8, 4699, 2213
4, 9, 1867, 1729
4, 10, 1875, 2633
8, 1, 2719, 2720
8, 2, 4104, 2320
8, 3, 2639, 2632
8, 4, 4297, 1829
8, 5, 2551, 2669
8, 6, 2844, 2711
8, 7, 2886, 2700
8, 8, 2741, 2628
8, 9, 2536, 2496
8, 10, 3221, 2207
16, 1, 2853, 2635
16, 2, 2376, 2669
16, 3, 5770, 2241
16, 4, 2671, 2270
16, 5, 2858, 2206
16, 6, 7658, 2455
16, 7, 2724, 2624
16, 8, 5485, 2225
16, 9, 3247, 6474
16, 10, 4087, 1824
32, 1, 3863, 2667
32, 2, 3198, 1737
32, 3, 3720, 2208
32, 4, 3295, 2297
32, 5, 3033, 2213
32, 6, 3660, 2668
32, 7, 3249, 2627
32, 8, 5485, 2630
32, 9, 3317, 2366
32, 10, 3562, 2698
64, 1, 4304, 2725
64, 2, 10201, 1732
64, 3, 4260, 2689
64, 4, 4219, 2656
64, 5, 4379, 1792
64, 6, 6259, 1729
64, 7, 4297, 2760
64, 8, 4372, 2238
64, 9, 4760, 1729
64, 10, 4332, 2235
