nroThreads, iteracion, tiempoParal, tiempoSecu
1, 1, 16360, 19747
1, 2, 16221, 22399
1, 3, 16205, 20331
1, 4, 16384, 26221
1, 5, 17353, 14942
1, 6, 15915, 15131
1, 7, 28916, 16255
1, 8, 16049, 20803
1, 9, 15578, 14827
1, 10, 15635, 15262
1, 11, 19994, 19073
1, 12, 16321, 20742
1, 13, 25972, 21002
1, 14, 16438, 23649
1, 15, 24547, 14756
1, 16, 21969, 17976
1, 17, 25603, 20304
1, 18, 16199, 19735
1, 19, 16228, 21618
1, 20, 25804, 20028
1, 21, 16268, 21009
1, 22, 16223, 21563
1, 23, 16530, 20039
1, 24, 22894, 14544
1, 25, 16188, 21124
1, 26, 25805, 21802
1, 27, 16290, 24141
1, 28, 16338, 20687
1, 29, 16419, 25868
1, 30, 16345, 21193
1, 31, 16151, 25919
1, 32, 24003, 22593
1, 33, 16198, 21534
1, 34, 16534, 23826
1, 35, 16258, 20624
1, 36, 21311, 21380
1, 37, 16419, 20429
1, 38, 16040, 22611
1, 39, 25846, 19463
1, 40, 16425, 26197
1, 41, 25386, 21534
1, 42, 16097, 21968
1, 43, 22455, 15166
1, 44, 26829, 23471
1, 45, 21249, 14995
1, 46, 16665, 21885
1, 47, 22829, 21707
1, 48, 15607, 14924
1, 49, 16867, 24825
1, 50, 16854, 23543
1, 51, 25074, 20553
1, 52, 16214, 22186
1, 53, 27700, 23565
1, 54, 24914, 20053
1, 55, 16974, 20359
1, 56, 26814, 22509
1, 57, 16512, 23779
1, 58, 25562, 15016
1, 59, 16222, 14559
1, 60, 16829, 20721
1, 61, 16138, 21073
1, 62, 21765, 20920
1, 63, 16337, 19714
1, 64, 16288, 21724
1, 65, 23696, 21574
1, 66, 16214, 22663
1, 67, 16222, 20715
1, 68, 21516, 18839
1, 69, 24008, 20099
1, 70, 16204, 21054
1, 71, 16172, 21169
1, 72, 23240, 23493
1, 73, 16391, 21080
1, 74, 24152, 21525
1, 75, 22372, 20191
1, 76, 24024, 14947
1, 77, 22147, 19015
1, 78, 17293, 20915
1, 79, 16441, 24919
1, 80, 24725, 23121
1, 81, 17466, 14664
1, 82, 15794, 22705
1, 83, 26220, 23315
1, 84, 15820, 15027
1, 85, 15515, 25581
1, 86, 24206, 15289
1, 87, 23395, 18535
