nroThreads, iteracion, tiempoParal, tiempoSecu
1, 1, 20936, 23916
1, 2, 15906, 20982
1, 3, 15256, 14893
1, 4, 16698, 27394
1, 5, 25994, 23061
1, 6, 22558, 22748
1, 7, 24283, 14519
1, 8, 16010, 21312
1, 9, 23989, 21722
1, 10, 15940, 24350
2, 1, 16125, 23058
2, 2, 25649, 23153
2, 3, 24524, 20290
2, 4, 24430, 22750
2, 5, 22943, 21169
2, 6, 22722, 21736
2, 7, 27324, 23786
2, 8, 27909, 23081
2, 9, 15245, 23565
2, 10, 24602, 22074
4, 1, 27226, 20732
4, 2, 27147, 22299
4, 3, 25334, 17608
4, 4, 21021, 22266
4, 5, 15510, 14726
4, 6, 16352, 21014
4, 7, 23996, 23629
4, 8, 16389, 20292
4, 9, 15471, 20809
4, 10, 23415, 21661
8, 1, 16147, 21424
8, 2, 16521, 23646
8, 3, 21131, 22754
8, 4, 23509, 24347
8, 5, 16032, 20637
8, 6, 23168, 24184
8, 7, 23875, 22208
8, 8, 23462, 22790
8, 9, 16198, 20094
8, 10, 16390, 20966
16, 1, 15949, 26221
16, 2, 15978, 21652
16, 3, 16920, 22862
16, 4, 25096, 21706
16, 5, 16097, 18580
16, 6, 16965, 23553
16, 7, 17156, 21295
16, 8, 20322, 21173
16, 9, 23879, 20705
16, 10, 16105, 18460
32, 1, 17344, 19436
32, 2, 18036, 22351
32, 3, 16419, 22586
32, 4, 15460, 24288
32, 5, 17014, 18708
32, 6, 17042, 18792
32, 7, 18676, 19749
32, 8, 20721, 23834
32, 9, 16975, 21226
32, 10, 16255, 18897
64, 1, 18886, 19268
64, 2, 18742, 20048
64, 3, 16473, 18903
64, 4, 21909, 20587
64, 5, 16520, 19033
64, 6, 16925, 19050
64, 7, 20870, 21653
64, 8, 17936, 22727
64, 9, 21795, 19699
64, 10, 17288, 18311
128, 1, 19732, 18840
128, 2, 20873, 18542
128, 3, 19216, 21143
128, 4, 18851, 18892
128, 5, 20560, 19010
128, 6, 20457, 18954
128, 7, 19368, 16912
128, 8, 19182, 18808
128, 9, 22147, 21938
128, 10, 19425, 18767
