nroThreads, iteracion, tiempoParal, tiempoSecu
1, 1, 150650, 145335
1, 2, 157907, 142804
1, 3, 159272, 143195
1, 4, 157188, 145637
1, 5, 157959, 144250
1, 6, 159135, 145837
1, 7, 159264, 146182
1, 8, 153164, 145748
1, 9, 158348, 143962
1, 10, 159047, 145074
1, 11, 160086, 145315
1, 12, 150082, 144978
1, 13, 160309, 146057
1, 14, 164568, 145733
1, 15, 159060, 145825
1, 16, 152146, 143407
1, 17, 149675, 146281
1, 18, 153702, 145999
1, 19, 161788, 146420
1, 20, 157345, 144572
1, 21, 161723, 144736
1, 22, 153097, 142810
1, 23, 160384, 143235
1, 24, 152801, 143164
1, 25, 156145, 145082
1, 26, 153750, 144182
1, 27, 160664, 143956
1, 28, 158584, 142864
1, 29, 158843, 144852
1, 30, 158455, 142017
1, 31, 162277, 145777
1, 32, 159733, 145929
1, 33, 157584, 145238
1, 34, 157737, 145581
1, 35, 159386, 146085
1, 36, 158208, 144423
1, 37, 159617, 146452
1, 38, 160122, 143129
1, 39, 152614, 143387
1, 40, 162514, 146843
1, 41, 161417, 145000
1, 42, 160404, 144943
1, 43, 161447, 144513
1, 44, 163699, 145530
1, 45, 160289, 145465
1, 46, 158446, 144359
1, 47, 161072, 144466
1, 48, 160974, 145165
1, 49, 159728, 145436
1, 50, 156107, 142849
1, 51, 147209, 141794
1, 52, 159188, 146152
1, 53, 152555, 142827
1, 54, 151300, 148592
1, 55, 158551, 145640
1, 56, 160339, 143321
1, 57, 158942, 142862
1, 58, 158382, 144642
1, 59, 152687, 142971
1, 60, 151108, 144570
1, 61, 153233, 142835
1, 62, 151392, 147839
1, 63, 150562, 145723
1, 64, 158885, 146976
1, 65, 151698, 146307
1, 66, 158243, 143066
1, 67, 150490, 145772
1, 68, 161250, 145346
1, 69, 160733, 146536
1, 70, 160871, 144493
1, 71, 163082, 144676
1, 72, 157862, 145042
1, 73, 162361, 143226
1, 74, 158140, 144235
1, 75, 157022, 145414
1, 76, 161044, 146963
1, 77, 158459, 145395
1, 78, 160323, 145084
1, 79, 163246, 145462
1, 80, 158366, 144065
1, 81, 162679, 145805
1, 82, 161144, 145029
1, 83, 154971, 146090
1, 84, 157853, 144570
1, 85, 160328, 145082
1, 86, 157055, 144998
1, 87, 155982, 142887
1, 88, 148623, 145225
1, 89, 160209, 144883
1, 90, 156675, 146172
1, 91, 153414, 145579
1, 92, 160981, 146527
1, 93, 159737, 147116
1, 94, 158543, 144312
1, 95, 162912, 146136
1, 96, 160184, 145568
1, 97, 156103, 146117
1, 98, 161765, 143485
1, 99, 158971, 145126
1, 100, 164158, 144235
1, 101, 153198, 142861
1, 102, 159443, 144481
1, 103, 160087, 143742
1, 104, 161383, 143414
1, 105, 160052, 144218
1, 106, 159977, 144857
1, 107, 157955, 142891
1, 108, 159629, 146882
1, 109, 160069, 145915
1, 110, 157650, 149943
1, 111, 163497, 147307
1, 112, 159317, 145536
1, 113, 161645, 145449
1, 114, 158870, 144506
1, 115, 161325, 145163
1, 116, 154588, 142370
1, 117, 151135, 144141
1, 118, 157019, 145573
1, 119, 158942, 146657
1, 120, 156615, 145613
1, 121, 160714, 145686
1, 122, 158190, 142328
1, 123, 158875, 146100
1, 124, 161263, 145387
1, 125, 158508, 144650
1, 126, 156346, 146004
1, 127, 167778, 142429
1, 128, 153239, 143461
1, 129, 158045, 144832
1, 130, 162574, 145717
1, 131, 161975, 144848
1, 132, 160419, 145831
1, 133, 161471, 145936
1, 134, 158371, 144652
1, 135, 160966, 144899
1, 136, 159747, 145139
1, 137, 152687, 147369
1, 138, 152976, 143601
1, 139, 158811, 145440
1, 140, 160770, 144708
1, 141, 152141, 142941
1, 142, 152861, 142738
1, 143, 158137, 144559
1, 144, 161386, 144891
1, 145, 160359, 145019
1, 146, 161422, 143344
1, 147, 160936, 144055
1, 148, 163399, 146118
1, 149, 161747, 144877
1, 150, 158305, 145785
2, 1, 155834, 144861
2, 2, 153339, 141751
2, 3, 157276, 143965
2, 4, 152531, 143827
2, 5, 157864, 145697
2, 6, 159160, 144638
2, 7, 160235, 145881
2, 8, 159423, 145198
2, 9, 157476, 143283
2, 10, 156217, 146382
2, 11, 159195, 144188
2, 12, 158377, 143751
2, 13, 154686, 148371
2, 14, 154338, 146540
2, 15, 154212, 147914
2, 16, 153621, 146759
2, 17, 156061, 145640
2, 18, 158685, 144317
2, 19, 159266, 144134
2, 20, 155942, 147480
2, 21, 154857, 144271
2, 22, 154850, 152017
2, 23, 158127, 144715
2, 24, 156702, 143566
2, 25, 158510, 141980
2, 26, 158206, 146393
2, 27, 153274, 144698
2, 28, 157023, 145096
2, 29, 150803, 144282
2, 30, 154811, 145237
2, 31, 155698, 145511
2, 32, 155934, 145904
2, 33, 158471, 147748
2, 34, 156945, 144489
2, 35, 156300, 150476
2, 36, 153280, 142367
2, 37, 162661, 146205
2, 38, 160816, 145884
2, 39, 154453, 144043
2, 40, 154593, 144058
2, 41, 159073, 142164
2, 42, 160743, 146142
2, 43, 154969, 145717
2, 44, 158063, 145189
2, 45, 165626, 145391
2, 46, 157645, 143631
2, 47, 152974, 143853
2, 48, 154708, 145621
2, 49, 160469, 144439
2, 50, 162364, 145756
2, 51, 159846, 144012
2, 52, 156529, 144636
2, 53, 155658, 146927
2, 54, 156676, 144786
2, 55, 152942, 142089
2, 56, 155733, 147140
2, 57, 156294, 147520
2, 58, 150850, 145280
2, 59, 155223, 145655
2, 60, 152878, 141844
2, 61, 157738, 144064
2, 62, 152433, 143650
2, 63, 151733, 146441
2, 64, 153181, 142482
2, 65, 151135, 143403
2, 66, 155417, 146280
2, 67, 153376, 146529
2, 68, 156726, 143799
2, 69, 155883, 147389
2, 70, 158011, 144048
2, 71, 158856, 145704
2, 72, 157527, 144711
2, 73, 152606, 146134
2, 74, 153755, 147851
2, 75, 153967, 147898
2, 76, 156795, 144467
2, 77, 152501, 142162
2, 78, 156261, 146050
2, 79, 171641, 144676
2, 80, 158387, 145412
2, 81, 160552, 145322
2, 82, 159158, 144660
2, 83, 153805, 145469
2, 84, 155255, 145142
2, 85, 156366, 145191
2, 86, 155745, 145846
2, 87, 153498, 145965
2, 88, 159627, 146273
2, 89, 161028, 146691
2, 90, 157860, 143021
2, 91, 159375, 146563
2, 92, 161860, 145964
2, 93, 157329, 144866
2, 94, 155424, 145408
2, 95, 159209, 146722
2, 96, 152648, 141983
2, 97, 151033, 145033
2, 98, 156912, 144498
2, 99, 155858, 146109
2, 100, 160671, 145042
2, 101, 152373, 141693
2, 102, 153550, 143088
2, 103, 155693, 144681
2, 104, 159546, 144226
2, 105, 157291, 145222
2, 106, 154391, 145154
2, 107, 152696, 143724
2, 108, 153633, 147073
2, 109, 153412, 142887
2, 110, 158176, 144812
2, 111, 158415, 145567
2, 112, 156698, 145542
2, 113, 166571, 145090
2, 114, 152659, 142688
2, 115, 160987, 145761
2, 116, 154266, 146999
2, 117, 158858, 144881
2, 118, 158698, 145361
2, 119, 159079, 144900
2, 120, 155699, 146287
2, 121, 158682, 145211
2, 122, 152955, 148453
2, 123, 157192, 144659
2, 124, 155447, 145203
2, 125, 154372, 146497
2, 126, 159365, 144533
2, 127, 163046, 145682
2, 128, 161832, 145335
2, 129, 158889, 144243
2, 130, 157333, 145812
2, 131, 156940, 144674
2, 132, 152484, 141593
2, 133, 154499, 146052
2, 134, 157753, 143754
2, 135, 151756, 151649
2, 136, 151230, 148229
2, 137, 154390, 150309
2, 138, 152340, 145242
2, 139, 156271, 148627
2, 140, 160100, 146688
2, 141, 157955, 144588
2, 142, 153024, 143839
2, 143, 161354, 144285
2, 144, 169113, 147533
2, 145, 153066, 142472
2, 146, 160922, 149109
2, 147, 152146, 146214
2, 148, 157066, 145590
2, 149, 161518, 146177
2, 150, 160019, 145456
4, 1, 149701, 149758
4, 2, 150417, 146214
4, 3, 151502, 147429
4, 4, 149188, 145276
4, 5, 156292, 145165
4, 6, 153095, 142920
4, 7, 153272, 143185
4, 8, 155679, 145217
4, 9, 156190, 144749
4, 10, 159890, 145633
4, 11, 156489, 146272
4, 12, 159253, 144899
4, 13, 153154, 147303
4, 14, 165598, 145302
4, 15, 153251, 147143
4, 16, 154847, 146709
4, 17, 156298, 146573
4, 18, 157910, 144111
4, 19, 156986, 145598
4, 20, 152549, 142537
4, 21, 150862, 148459
4, 22, 152984, 149588
4, 23, 152408, 144010
4, 24, 151836, 148840
4, 25, 153969, 146735
4, 26, 152379, 144962
4, 27, 150958, 147356
4, 28, 156795, 144262
4, 29, 151515, 142884
4, 30, 154507, 155820
4, 31, 147651, 145766
4, 32, 159383, 146019
4, 33, 147123, 143303
4, 34, 153974, 146025
4, 35, 154546, 146228
4, 36, 154658, 149094
4, 37, 149610, 146784
4, 38, 157064, 146217
4, 39, 159555, 145385
4, 40, 158515, 143143
4, 41, 154207, 144500
4, 42, 152089, 146508
4, 43, 155472, 145377
4, 44, 154838, 147992
4, 45, 155669, 147999
4, 46, 156674, 144405
4, 47, 156674, 145741
4, 48, 152685, 145132
4, 49, 155076, 147477
4, 50, 157853, 143730
4, 51, 156409, 146293
4, 52, 155013, 145754
4, 53, 152355, 146832
4, 54, 155315, 144503
4, 55, 158951, 145121
4, 56, 157030, 145460
4, 57, 159061, 147941
4, 58, 155586, 146119
4, 59, 156203, 144737
4, 60, 151872, 146957
4, 61, 152900, 143073
4, 62, 157841, 146384
4, 63, 155625, 146030
4, 64, 160657, 145309
4, 65, 145958, 142785
4, 66, 158256, 142525
4, 67, 157338, 142503
4, 68, 157522, 145244
4, 69, 150860, 145729
4, 70, 154871, 147721
4, 71, 156212, 144962
4, 72, 159382, 144041
4, 73, 155918, 147045
4, 74, 153812, 144572
4, 75, 157982, 144675
4, 76, 159649, 144165
4, 77, 156960, 145351
4, 78, 155242, 148791
4, 79, 156048, 148106
4, 80, 155507, 148351
4, 81, 149450, 143599
4, 82, 153522, 143234
4, 83, 153142, 142720
4, 84, 150187, 145037
4, 85, 149232, 146277
4, 86, 156499, 145046
4, 87, 155324, 146773
4, 88, 154027, 145624
4, 89, 151848, 147940
4, 90, 149377, 141816
4, 91, 149091, 145282
4, 92, 159644, 147274
4, 93, 160413, 143919
4, 94, 160308, 146252
4, 95, 154621, 147888
4, 96, 152679, 146176
4, 97, 151705, 145052
4, 98, 154236, 144938
4, 99, 152121, 146877
4, 100, 155680, 147891
4, 101, 152641, 143808
4, 102, 159696, 145408
4, 103, 154904, 145482
4, 104, 151076, 147089
4, 105, 155634, 147334
4, 106, 155286, 148871
4, 107, 158864, 143158
4, 108, 152487, 142909
4, 109, 151490, 147355
4, 110, 155767, 144784
4, 111, 155237, 146424
4, 112, 154379, 145555
4, 113, 151792, 146262
4, 114, 152818, 143021
4, 115, 156751, 144454
4, 116, 159074, 144205
4, 117, 159533, 145228
4, 118, 156075, 149125
4, 119, 152605, 143419
4, 120, 153494, 145503
4, 121, 155587, 146372
4, 122, 150411, 145501
4, 123, 150974, 148406
4, 124, 153809, 145150
4, 125, 149913, 145560
4, 126, 151537, 146315
4, 127, 151448, 145789
4, 128, 151553, 146929
4, 129, 153920, 146229
4, 130, 155062, 148655
4, 131, 155855, 147791
4, 132, 152554, 147465
4, 133, 153112, 146985
4, 134, 151552, 144783
4, 135, 146610, 150955
4, 136, 150438, 144939
4, 137, 151531, 147238
4, 138, 153586, 146338
4, 139, 153323, 142748
4, 140, 158368, 145748
4, 141, 152200, 147316
4, 142, 150484, 145410
4, 143, 158222, 145500
4, 144, 164018, 147980
4, 145, 157048, 145461
4, 146, 149127, 145182
4, 147, 153375, 141824
4, 148, 154041, 148926
4, 149, 151640, 148420
4, 150, 152129, 148184
8, 1, 152476, 147630
8, 2, 152973, 146911
8, 3, 154176, 149053
8, 4, 154799, 145688
8, 5, 151240, 145404
8, 6, 152206, 145845
8, 7, 152305, 148579
8, 8, 154784, 148906
8, 9, 153375, 147086
8, 10, 153834, 146337
8, 11, 152018, 145760
8, 12, 152231, 143764
8, 13, 156037, 146777
8, 14, 152113, 146884
8, 15, 153059, 145353
8, 16, 150019, 144908
8, 17, 165003, 145849
8, 18, 155757, 147550
8, 19, 154063, 146724
8, 20, 152085, 150925
8, 21, 153248, 146914
8, 22, 154352, 148921
8, 23, 150493, 146257
8, 24, 147978, 150563
8, 25, 149820, 144884
8, 26, 151901, 146619
8, 27, 152723, 147245
8, 28, 150155, 148961
8, 29, 156072, 148106
8, 30, 154212, 146350
8, 31, 150489, 145632
8, 32, 153967, 148966
8, 33, 153629, 146900
8, 34, 153341, 145259
8, 35, 155639, 146005
8, 36, 153212, 142206
8, 37, 152718, 141554
8, 38, 153089, 148286
8, 39, 153029, 147220
8, 40, 152892, 147250
8, 41, 151526, 150825
8, 42, 152337, 148544
8, 43, 153862, 146906
8, 44, 150322, 145499
8, 45, 155889, 144781
