nroThreads, iteracion, tiempoParal, tiempoSecu
1, 1, 152356, 156876
1, 2, 152704, 145952
1, 3, 154153, 143178
1, 4, 150163, 147128
1, 5, 153514, 144615
1, 6, 154220, 143364
1, 7, 151199, 146633
1, 8, 159606, 146092
1, 9, 159736, 144827
1, 10, 165755, 147426
1, 11, 156659, 148522
1, 12, 162409, 147782
1, 13, 157447, 144231
1, 14, 157221, 145256
1, 15, 152899, 151254
1, 16, 155003, 151766
1, 17, 160491, 147496
1, 18, 153073, 154887
1, 19, 165214, 154713
1, 20, 154125, 208625
1, 21, 172905, 147583
1, 22, 152875, 172832
1, 23, 160188, 144551
1, 24, 154893, 164415
1, 25, 185552, 172234
1, 26, 168966, 146573
1, 27, 164329, 168708
1, 28, 154045, 145258
1, 29, 162822, 158287
1, 30, 166434, 185529
1, 31, 164533, 181030
1, 32, 188060, 154732
1, 33, 175593, 145290
1, 34, 175075, 179941
1, 35, 177126, 158101
1, 36, 163290, 144380
1, 37, 158116, 146722
1, 38, 152998, 156515
1, 39, 166473, 149215
1, 40, 160324, 148184
1, 41, 159286, 146791
1, 42, 157994, 149134
1, 43, 159798, 147412
1, 44, 163027, 147431
1, 45, 155951, 146813
1, 46, 161467, 146649
1, 47, 158837, 146614
1, 48, 155962, 149198
1, 49, 159481, 147290
1, 50, 161813, 145801
1, 51, 153564, 151005
1, 52, 160567, 166941
1, 53, 161386, 147558
1, 54, 163275, 145959
1, 55, 183122, 147178
1, 56, 156362, 143016
1, 57, 159036, 151167
1, 58, 161943, 147126
1, 59, 165067, 151397
1, 60, 158479, 156087
1, 61, 180923, 173080
1, 62, 153078, 153910
1, 63, 157123, 144848
1, 64, 153158, 144226
1, 65, 161468, 145627
1, 66, 155294, 147487
1, 67, 167595, 161417
1, 68, 158714, 148459
1, 69, 149875, 151851
1, 70, 153113, 147210
1, 71, 165717, 150749
1, 72, 163250, 164681
1, 73, 179774, 146890
1, 74, 173336, 144653
1, 75, 160973, 158635
1, 76, 165163, 156575
1, 77, 198669, 164863
1, 78, 165466, 150769
1, 79, 151929, 145815
1, 80, 160782, 147805
1, 81, 178361, 149960
1, 82, 157979, 145683
1, 83, 154975, 147612
1, 84, 175580, 165263
1, 85, 148813, 144058
1, 86, 167134, 146538
1, 87, 157525, 143387
1, 88, 161280, 154041
1, 89, 154266, 150903
1, 90, 153016, 143668
1, 91, 166765, 161214
1, 92, 166523, 152248
1, 93, 156850, 153904
1, 94, 166244, 146838
1, 95, 162907, 150101
1, 96, 155668, 149619
1, 97, 160447, 147556
1, 98, 154796, 147364
1, 99, 165376, 156486
1, 100, 153108, 144727
1, 101, 155226, 150042
1, 102, 150434, 150691
1, 103, 154092, 147413
1, 104, 158711, 145356
1, 105, 157702, 146686
1, 106, 157784, 149911
1, 107, 163018, 156735
1, 108, 163454, 144226
1, 109, 161960, 144730
1, 110, 161398, 144322
1, 111, 156238, 154616
1, 112, 154036, 146214
1, 113, 155897, 150605
1, 114, 155880, 154514
1, 115, 155475, 153131
1, 116, 161374, 149025
1, 117, 161673, 149633
1, 118, 158275, 160508
1, 119, 152939, 147061
1, 120, 153733, 145144
1, 121, 155316, 143303
1, 122, 165512, 173597
1, 123, 156446, 146925
1, 124, 164153, 149028
1, 125, 164055, 149396
1, 126, 156636, 144846
1, 127, 166490, 154394
1, 128, 156594, 149120
1, 129, 161119, 146212
1, 130, 170774, 150533
1, 131, 156190, 149512
1, 132, 159674, 146848
1, 133, 159538, 152425
1, 134, 156140, 148906
1, 135, 164584, 148814
1, 136, 154601, 145375
1, 137, 158948, 145190
1, 138, 160960, 150427
1, 139, 175873, 156724
1, 140, 162507, 152745
1, 141, 166538, 160044
1, 142, 153423, 143109
1, 143, 157744, 148039
1, 144, 158122, 146869
1, 145, 175044, 145557
1, 146, 162523, 144846
1, 147, 152031, 147423
1, 148, 157206, 157734
1, 149, 158916, 149602
1, 150, 153443, 144548
2, 1, 157923, 145979
2, 2, 170169, 176208
2, 3, 155429, 147380
2, 4, 161226, 152202
2, 5, 157150, 144155
2, 6, 152572, 146940
2, 7, 158016, 145308
2, 8, 151745, 148989
2, 9, 158646, 152057
2, 10, 158842, 146347
2, 11, 158360, 147404
2, 12, 151439, 153423
2, 13, 168171, 144452
2, 14, 157630, 150400
2, 15, 160192, 151751
2, 16, 161669, 143695
2, 17, 156233, 144569
2, 18, 159414, 148604
2, 19, 159802, 154474
2, 20, 152785, 143937
2, 21, 156488, 148344
2, 22, 158337, 144387
2, 23, 165210, 143230
2, 24, 167875, 145981
2, 25, 156435, 145790
2, 26, 152811, 143855
2, 27, 153028, 143466
2, 28, 150293, 159806
2, 29, 157620, 146244
2, 30, 150844, 152450
2, 31, 160666, 146934
2, 32, 153557, 146797
2, 33, 153344, 143757
2, 34, 156583, 146224
2, 35, 159970, 146656
2, 36, 159487, 159744
2, 37, 150457, 145259
2, 38, 155628, 147889
2, 39, 160113, 155440
2, 40, 159612, 146469
2, 41, 153459, 148394
2, 42, 169878, 147366
2, 43, 152102, 152411
2, 44, 153830, 155508
2, 45, 158871, 145079
2, 46, 153195, 143004
2, 47, 154564, 147861
2, 48, 154319, 148729
2, 49, 153145, 150291
2, 50, 152525, 144406
2, 51, 161454, 147638
2, 52, 152914, 142997
2, 53, 152747, 143158
2, 54, 150662, 142922
2, 55, 160268, 147892
2, 56, 157132, 157279
2, 57, 153086, 157948
2, 58, 156175, 149846
2, 59, 154649, 154949
2, 60, 150525, 150364
2, 61, 156907, 146343
2, 62, 162896, 146119
2, 63, 156060, 146064
2, 64, 157433, 148223
2, 65, 156674, 146987
2, 66, 153501, 153676
2, 67, 158030, 149554
2, 68, 157033, 143937
2, 69, 158245, 144525
2, 70, 155771, 143783
2, 71, 154989, 149767
2, 72, 159729, 160973
2, 73, 155221, 152099
2, 74, 158593, 147868
2, 75, 157291, 148341
2, 76, 152949, 144474
2, 77, 158198, 146819
2, 78, 161459, 146417
2, 79, 153117, 145260
2, 80, 152136, 144088
2, 81, 161535, 147704
2, 82, 152950, 152482
2, 83, 154789, 146486
2, 84, 150816, 151246
2, 85, 157328, 148929
2, 86, 154945, 146767
2, 87, 149353, 144371
2, 88, 152058, 149707
2, 89, 173788, 144787
2, 90, 167671, 147011
2, 91, 152647, 148734
2, 92, 150468, 145735
2, 93, 160078, 157510
2, 94, 149064, 146916
2, 95, 153348, 149336
2, 96, 153189, 144177
2, 97, 159149, 156653
2, 98, 149268, 146268
2, 99, 149134, 143373
2, 100, 158016, 148746
2, 101, 157610, 146228
2, 102, 151486, 144126
2, 103, 147516, 143838
2, 104, 165994, 146027
2, 105, 165724, 159934
2, 106, 167549, 147158
2, 107, 159081, 151088
2, 108, 166030, 155147
2, 109, 165993, 154284
2, 110, 155605, 152154
2, 111, 159880, 156600
2, 112, 155950, 156947
2, 113, 164722, 148232
2, 114, 164920, 145992
2, 115, 152729, 149312
2, 116, 158921, 150533
2, 117, 156075, 145912
2, 118, 166121, 148453
2, 119, 156102, 145927
2, 120, 155475, 145644
2, 121, 152906, 153359
2, 122, 151930, 143165
2, 123, 155604, 148248
2, 124, 158703, 146148
2, 125, 160062, 144659
2, 126, 168954, 148575
2, 127, 156027, 146753
2, 128, 153536, 149263
2, 129, 151780, 145455
2, 130, 154921, 146846
2, 131, 158747, 147645
2, 132, 159032, 145766
2, 133, 163798, 153298
2, 134, 169920, 148510
2, 135, 170287, 143917
2, 136, 152918, 144297
2, 137, 158254, 147180
2, 138, 163404, 150523
2, 139, 164518, 150756
2, 140, 156726, 149512
2, 141, 151341, 153026
2, 142, 154969, 145894
2, 143, 159695, 147695
2, 144, 160382, 146020
2, 145, 166550, 156504
2, 146, 168365, 148644
2, 147, 154598, 147121
2, 148, 154824, 146732
2, 149, 163675, 152072
2, 150, 152477, 147360
4, 1, 152636, 145980
4, 2, 163389, 159803
4, 3, 148484, 144369
4, 4, 151081, 146702
4, 5, 152406, 152896
4, 6, 157898, 146085
4, 7, 150112, 143500
4, 8, 148269, 154808
4, 9, 150819, 143298
4, 10, 154293, 147472
4, 11, 152688, 150431
4, 12, 150194, 147123
4, 13, 154959, 156648
4, 14, 148985, 148673
4, 15, 156406, 150316
4, 16, 152502, 150925
4, 17, 150381, 154154
4, 18, 152039, 152416
4, 19, 156856, 146379
4, 20, 166340, 159009
4, 21, 162003, 146553
4, 22, 155506, 149984
4, 23, 153853, 152038
4, 24, 153201, 147421
4, 25, 154325, 149163
4, 26, 157265, 150713
4, 27, 161012, 146643
4, 28, 160156, 157457
4, 29, 158358, 143670
4, 30, 147392, 143495
4, 31, 152190, 151630
4, 32, 163330, 155017
4, 33, 150927, 153111
4, 34, 156539, 147881
4, 35, 150838, 155348
4, 36, 153787, 154995
4, 37, 155679, 158893
4, 38, 155643, 161092
4, 39, 148865, 151348
4, 40, 160137, 150048
4, 41, 156156, 153354
4, 42, 152952, 142920
4, 43, 157614, 156544
4, 44, 152991, 150087
4, 45, 151336, 152879
4, 46, 149832, 150544
4, 47, 186415, 149770
4, 48, 153016, 149842
4, 49, 154583, 158095
4, 50, 162135, 147636
4, 51, 159945, 163379
4, 52, 154019, 146076
4, 53, 157117, 146630
4, 54, 159959, 152111
