nroThreads, iteracion, tiempoParal, tiempoSecu
1, 1, 436672, 423135
1, 2, 443533, 414325
1, 3, 436126, 412207
1, 4, 433307, 413815
1, 5, 437414, 413248
1, 6, 435346, 412292
1, 7, 430287, 411479
1, 8, 439026, 418458
1, 9, 428937, 414588
1, 10, 446122, 426646
1, 11, 432116, 410104
1, 12, 435997, 406786
1, 13, 423308, 413981
1, 14, 431500, 410400
1, 15, 434550, 448962
1, 16, 432864, 411038
1, 17, 441727, 448814
1, 18, 474727, 469758
1, 19, 427339, 424694
1, 20, 437143, 444780
1, 21, 468748, 418461
1, 22, 454805, 429066
1, 23, 477601, 430607
1, 24, 438058, 414986
1, 25, 437517, 493602
1, 26, 508537, 432240
1, 27, 478399, 446736
1, 28, 504538, 431007
1, 29, 483032, 488591
1, 30, 448462, 455031
1, 31, 479225, 448355
1, 32, 507338, 453367
1, 33, 501083, 474146
1, 34, 438145, 427806
1, 35, 437079, 421284
1, 36, 504226, 484703
1, 37, 527205, 447987
1, 38, 464220, 493784
1, 39, 434309, 505227
1, 40, 492090, 468863
1, 41, 437198, 411670
1, 42, 429774, 470988
1, 43, 480186, 458734
1, 44, 431194, 441045
1, 45, 434287, 404929
1, 46, 452696, 410929
1, 47, 428920, 413703
1, 48, 434876, 413411
1, 49, 434899, 409846
1, 50, 441451, 410990
1, 51, 430917, 423115
1, 52, 424649, 410978
1, 53, 435813, 412812
1, 54, 436691, 420162
1, 55, 427408, 412466
1, 56, 432149, 421178
1, 57, 430165, 416501
1, 58, 430083, 415559
1, 59, 440731, 417016
1, 60, 430470, 413614
1, 61, 428953, 420876
1, 62, 429761, 416144
1, 63, 426577, 410660
1, 64, 440289, 413109
1, 65, 432913, 417676
1, 66, 436544, 417767
1, 67, 430937, 441079
1, 68, 425268, 423140
1, 69, 432437, 410796
1, 70, 430457, 416040
1, 71, 430681, 416547
1, 72, 427530, 414137
1, 73, 430443, 422108
1, 74, 437222, 417946
1, 75, 425058, 412840
1, 76, 441765, 411932
1, 77, 442538, 409641
1, 78, 438533, 408875
1, 79, 445510, 417889
1, 80, 423662, 413021
1, 81, 441874, 417497
1, 82, 438667, 408282
1, 83, 431773, 408587
1, 84, 434974, 409339
1, 85, 434677, 407354
1, 86, 431030, 421127
1, 87, 427535, 408947
1, 88, 434874, 411028
1, 89, 434594, 413580
1, 90, 438345, 410835
1, 91, 434937, 407668
1, 92, 435383, 422207
1, 93, 431241, 412076
1, 94, 435044, 414751
1, 95, 429804, 416082
1, 96, 432065, 405139
1, 97, 429744, 409164
1, 98, 430825, 412449
1, 99, 435623, 409358
1, 100, 430761, 411052
1, 101, 432570, 413409
1, 102, 434326, 412464
1, 103, 438439, 427655
1, 104, 426231, 412511
1, 105, 439274, 416021
1, 106, 435856, 420252
1, 107, 438637, 425377
1, 108, 439018, 412222
1, 109, 441092, 427959
1, 110, 438769, 418413
1, 111, 432839, 407481
1, 112, 431064, 411436
1, 113, 431321, 413702
1, 114, 427931, 416599
1, 115, 428004, 411736
1, 116, 432871, 420123
1, 117, 426879, 411132
1, 118, 452437, 409471
1, 119, 431466, 417895
1, 120, 432573, 414481
1, 121, 434390, 411080
1, 122, 423643, 407011
1, 123, 438056, 413046
1, 124, 426101, 417677
1, 125, 438028, 413486
1, 126, 427669, 413968
1, 127, 433598, 418094
1, 128, 427912, 429694
1, 129, 434035, 421016
1, 130, 435469, 416899
1, 131, 448545, 416088
1, 132, 441646, 423471
1, 133, 434526, 414062
1, 134, 425989, 411995
1, 135, 427285, 416646
1, 136, 433816, 417703
1, 137, 424618, 410916
1, 138, 430111, 409399
1, 139, 428074, 413629
1, 140, 429396, 410521
1, 141, 434681, 420729
1, 142, 426558, 416631
1, 143, 427723, 414870
1, 144, 430464, 410328
1, 145, 434188, 417046
1, 146, 446712, 422995
1, 147, 432945, 419282
1, 148, 424747, 419265
1, 149, 446186, 417797
1, 150, 428983, 427762
2, 1, 423558, 408091
2, 2, 445243, 419166
2, 3, 445165, 421438
2, 4, 437647, 441861
2, 5, 440906, 422139
2, 6, 447221, 422673
2, 7, 443783, 413487
2, 8, 454370, 422625
2, 9, 426171, 411571
2, 10, 432510, 420407
2, 11, 444189, 415814
2, 12, 451083, 422266
2, 13, 437474, 409628
2, 14, 427472, 434560
2, 15, 444506, 419990
2, 16, 446547, 416721
2, 17, 445762, 410167
2, 18, 427698, 416917
2, 19, 432676, 418439
2, 20, 436995, 418871
2, 21, 435095, 418133
2, 22, 449108, 413344
2, 23, 425920, 417427
2, 24, 432802, 418109
2, 25, 432334, 418040
2, 26, 431894, 423902
2, 27, 424358, 412220
2, 28, 443671, 428771
2, 29, 430664, 418828
2, 30, 427458, 421435
2, 31, 433516, 416843
2, 32, 432698, 418533
2, 33, 442886, 415475
2, 34, 436142, 418213
2, 35, 430276, 417741
2, 36, 429579, 422765
2, 37, 433796, 421051
2, 38, 434211, 436309
2, 39, 426875, 414128
2, 40, 435345, 422855
2, 41, 435802, 424055
2, 42, 436090, 420510
2, 43, 434683, 416955
2, 44, 436381, 417827
2, 45, 452461, 436412
2, 46, 437590, 419723
2, 47, 434261, 416389
2, 48, 443373, 412542
2, 49, 439212, 411575
2, 50, 433043, 418802
2, 51, 426885, 410173
2, 52, 430586, 418105
2, 53, 440874, 412812
2, 54, 425093, 411295
2, 55, 428092, 416888
2, 56, 433135, 409609
2, 57, 432512, 412748
2, 58, 435292, 435294
2, 59, 436622, 416764
2, 60, 443452, 422197
2, 61, 438168, 411504
2, 62, 437284, 411242
2, 63, 435931, 440842
2, 64, 438424, 429849
2, 65, 432734, 424635
2, 66, 431187, 414362
2, 67, 431479, 409637
2, 68, 435682, 414012
2, 69, 433468, 411165
2, 70, 429950, 425897
2, 71, 430776, 409161
2, 72, 434394, 422952
2, 73, 432331, 413170
2, 74, 435335, 422003
2, 75, 424210, 417850
2, 76, 432953, 418422
2, 77, 431680, 410706
2, 78, 433442, 410944
2, 79, 433414, 415698
2, 80, 424966, 416313
2, 81, 432740, 413995
2, 82, 435213, 409621
2, 83, 434416, 409429
2, 84, 432058, 415089
2, 85, 431479, 414282
2, 86, 430279, 410931
2, 87, 441261, 411546
2, 88, 433358, 410736
2, 89, 432220, 410972
2, 90, 431412, 410694
2, 91, 433095, 408461
2, 92, 427778, 410746
2, 93, 429373, 410307
2, 94, 431198, 411489
2, 95, 434856, 412267
2, 96, 431389, 409945
2, 97, 434723, 414032
2, 98, 434003, 411250
2, 99, 434992, 408480
