nroThreads, iteracion, tiempoParal, tiempoSecu
1, 1, 432776, 414055
1, 2, 437579, 416264
1, 3, 434828, 414319
1, 4, 437535, 418273
1, 5, 433507, 414427
1, 6, 442590, 423105
1, 7, 436255, 414456
1, 8, 429237, 412218
1, 9, 434989, 415304
1, 10, 431127, 410612
1, 11, 428077, 431530
1, 12, 442212, 414877
1, 13, 433458, 412291
1, 14, 430903, 436687
1, 15, 429274, 419186
1, 16, 432503, 414958
1, 17, 434881, 415945
1, 18, 448711, 418005
1, 19, 442598, 414262
1, 20, 439644, 429864
1, 21, 438538, 413359
1, 22, 436839, 415229
1, 23, 434765, 415549
1, 24, 434624, 414557
1, 25, 430143, 418747
1, 26, 432685, 418981
1, 27, 433275, 417788
1, 28, 434290, 415653
1, 29, 432889, 413600
1, 30, 451304, 415811
1, 31, 436011, 415486
1, 32, 437945, 414627
1, 33, 437224, 413525
1, 34, 432491, 414495
1, 35, 432325, 413909
1, 36, 440533, 417344
1, 37, 435918, 415396
1, 38, 426567, 422583
1, 39, 434008, 414296
1, 40, 433893, 412554
1, 41, 435130, 423747
1, 42, 429669, 415561
1, 43, 435021, 414120
1, 44, 437897, 414838
1, 45, 436905, 416359
1, 46, 427431, 412974
1, 47, 427517, 412423
1, 48, 449592, 434694
1, 49, 453176, 429420
1, 50, 442182, 415959
1, 51, 443972, 413776
1, 52, 428418, 414217
1, 53, 438559, 422499
1, 54, 442740, 428180
1, 55, 438442, 417957
1, 56, 424172, 414133
1, 57, 434398, 416021
1, 58, 430821, 432910
1, 59, 433642, 428686
1, 60, 452557, 438198
1, 61, 442359, 445090
1, 62, 439369, 416570
1, 63, 448118, 419939
1, 64, 444772, 414660
1, 65, 432341, 416085
1, 66, 443763, 415083
1, 67, 433034, 414908
1, 68, 438825, 415167
1, 69, 435933, 414724
1, 70, 435323, 415719
1, 71, 437981, 424975
1, 72, 442022, 417820
1, 73, 435177, 415651
1, 74, 442928, 429208
1, 75, 434200, 418481
1, 76, 439270, 415841
1, 77, 437133, 414560
1, 78, 440974, 416795
1, 79, 429856, 411898
1, 80, 444943, 422786
1, 81, 437121, 419088
1, 82, 444295, 416520
1, 83, 441698, 415491
1, 84, 438308, 414020
1, 85, 439075, 414157
1, 86, 434205, 413943
1, 87, 446085, 418048
1, 88, 435108, 420331
1, 89, 439079, 414629
1, 90, 433888, 415521
1, 91, 438777, 412912
1, 92, 435394, 412799
1, 93, 434558, 414119
1, 94, 433319, 418046
1, 95, 434850, 416786
1, 96, 434983, 414950
1, 97, 440384, 413453
1, 98, 438760, 413595
1, 99, 439237, 414152
1, 100, 438324, 412307
1, 101, 440611, 418974
1, 102, 450090, 418905
1, 103, 439045, 424442
1, 104, 443427, 413941
1, 105, 443562, 437591
1, 106, 445410, 423786
1, 107, 433017, 418508
1, 108, 437668, 422875
1, 109, 433332, 417567
1, 110, 438278, 417630
1, 111, 441573, 455375
1, 112, 440705, 426131
1, 113, 457168, 435361
1, 114, 435477, 431790
1, 115, 446606, 419086
1, 116, 444039, 419906
1, 117, 455237, 463060
1, 118, 438493, 429119
1, 119, 424145, 426554
1, 120, 428944, 433126
1, 121, 469519, 422784
1, 122, 427235, 412564
1, 123, 447596, 427969
1, 124, 444093, 412221
1, 125, 427671, 430099
1, 126, 430138, 411965
1, 127, 433001, 418232
1, 128, 429222, 414786
1, 129, 434336, 424104
1, 130, 429395, 422489
1, 131, 430311, 413644
1, 132, 437914, 416870
1, 133, 435449, 433786
1, 134, 428767, 420031
1, 135, 434834, 412762
1, 136, 441561, 412857
1, 137, 451143, 414212
1, 138, 437579, 415323
1, 139, 434641, 425476
1, 140, 437177, 430493
1, 141, 432566, 422522
1, 142, 437596, 430075
1, 143, 431623, 415401
1, 144, 464852, 440599
1, 145, 528573, 447420
1, 146, 443884, 418837
1, 147, 459149, 417216
1, 148, 437143, 418113
1, 149, 454363, 430883
1, 150, 462716, 438355
2, 1, 440709, 421647
2, 2, 442022, 419602
2, 3, 438149, 434547
2, 4, 434764, 422743
2, 5, 453398, 421645
2, 6, 434941, 416487
2, 7, 437921, 438635
2, 8, 422097, 431047
2, 9, 432660, 430719
2, 10, 436414, 426299
2, 11, 444213, 422621
2, 12, 438581, 424987
2, 13, 439279, 435765
2, 14, 429144, 417860
2, 15, 436629, 429727
2, 16, 459461, 412760
2, 17, 431226, 427306
2, 18, 437200, 444137
2, 19, 470093, 436264
2, 20, 428630, 423270
2, 21, 441764, 415322
2, 22, 470076, 432007
2, 23, 442299, 436482
2, 24, 455366, 428899
2, 25, 464666, 420336
2, 26, 477078, 421292
2, 27, 439430, 428738
2, 28, 462585, 433317
2, 29, 434980, 420472
2, 30, 434888, 414738
2, 31, 439067, 440907
2, 32, 458188, 420133
2, 33, 435024, 433097
2, 34, 449295, 449343
2, 35, 430211, 444538
2, 36, 467017, 427790
2, 37, 428162, 427015
2, 38, 435988, 421643
2, 39, 438563, 418272
2, 40, 466684, 423525
2, 41, 441654, 417325
2, 42, 428614, 498629
2, 43, 457219, 422611
2, 44, 432803, 421319
2, 45, 443330, 416827
2, 46, 457221, 435089
2, 47, 428105, 418188
2, 48, 455602, 418360
2, 49, 428917, 427729
2, 50, 456069, 420786
2, 51, 433547, 421714
2, 52, 438958, 421280
2, 53, 439097, 419135
2, 54, 428285, 418991
2, 55, 433900, 450218
2, 56, 441454, 410900
2, 57, 429220, 421352
2, 58, 430273, 421567
2, 59, 433903, 414379
2, 60, 435253, 420843
2, 61, 442186, 434978
2, 62, 482982, 436133
2, 63, 443799, 416522
2, 64, 437863, 428082
2, 65, 429895, 428079
2, 66, 432056, 413391
2, 67, 429670, 422983
2, 68, 443576, 417088
2, 69, 427392, 434856
2, 70, 450680, 414504
2, 71, 507862, 480271
2, 72, 527769, 445624
2, 73, 521193, 490201
2, 74, 473344, 481901
2, 75, 500567, 445865
2, 76, 468053, 445369
2, 77, 435656, 428811
2, 78, 459414, 453061
2, 79, 446588, 449326
2, 80, 486476, 429304
2, 81, 428173, 413672
2, 82, 478385, 440788
2, 83, 433985, 415736
2, 84, 449467, 414044
2, 85, 446955, 452292
2, 86, 453948, 445757
2, 87, 458226, 459374
2, 88, 434172, 436589
2, 89, 522564, 449713
2, 90, 440195, 428432
2, 91, 457553, 421337
2, 92, 426144, 418875
2, 93, 427457, 413950
2, 94, 467692, 414429
2, 95, 493981, 517518
2, 96, 427349, 413690
2, 97, 444551, 416488
2, 98, 446502, 424112
2, 99, 428980, 440816
2, 100, 427086, 447209
2, 101, 430825, 415470
2, 102, 427531, 424705
2, 103, 428365, 413948
2, 104, 511205, 449328
2, 105, 467427, 429023
2, 106, 467169, 445343
2, 107, 449109, 436600
2, 108, 467449, 449788
2, 109, 474749, 431240
2, 110, 468200, 416631
2, 111, 429336, 412017
2, 112, 424029, 451406
2, 113, 482362, 457817
2, 114, 445059, 420294
2, 115, 476753, 473081
2, 116, 436053, 413324
2, 117, 427604, 412604
2, 118, 427998, 416200
2, 119, 426228, 431470
2, 120, 442684, 417128
2, 121, 435948, 441235
2, 122, 444252, 432886
2, 123, 467161, 432724
2, 124, 468266, 431106
2, 125, 465972, 429250
2, 126, 430063, 414353
2, 127, 425728, 421478
2, 128, 448480, 460229
2, 129, 466028, 432780
2, 130, 458537, 438764
2, 131, 437279, 419953
2, 132, 432006, 432582
2, 133, 496625, 412675
2, 134, 433151, 412072
2, 135, 424148, 420412
2, 136, 440127, 414873
2, 137, 427606, 425060
2, 138, 432451, 420285
2, 139, 462964, 416508
2, 140, 437224, 415638
2, 141, 434391, 413931
2, 142, 434745, 410175
2, 143, 444175, 429236
2, 144, 438993, 452536
2, 145, 442150, 416433
2, 146, 427697, 420915
2, 147, 439671, 436804
2, 148, 433840, 418255
2, 149, 430293, 416278
2, 150, 426583, 412491
4, 1, 438889, 420451
4, 2, 423443, 428739
4, 3, 429276, 429930
4, 4, 428188, 412842
4, 5, 444369, 414065
4, 6, 426867, 415273
4, 7, 439994, 414541
4, 8, 485158, 414402
4, 9, 432975, 415128
4, 10, 438552, 421081
4, 11, 430306, 433656
4, 12, 425254, 412989
4, 13, 435357, 438199
4, 14, 439746, 421145
4, 15, 432367, 415979
4, 16, 430309, 433651
4, 17, 432444, 417097
4, 18, 433809, 459083
4, 19, 430062, 427298
4, 20, 427260, 426662
4, 21, 436855, 416230
4, 22, 436996, 412576
4, 23, 433502, 414449
4, 24, 439243, 416799
4, 25, 440789, 423979
4, 26, 431430, 420554
4, 27, 427272, 414219
4, 28, 438022, 415954
4, 29, 445227, 415570
4, 30, 427575, 415552
4, 31, 435615, 420248
4, 32, 429604, 414951
4, 33, 435948, 419769
4, 34, 431554, 415874
4, 35, 424543, 413235
4, 36, 432010, 413609
4, 37, 438066, 414733
4, 38, 425926, 420232
4, 39, 442625, 416937
4, 40, 425720, 418910
4, 41, 431888, 425294
4, 42, 434061, 420863
4, 43, 424259, 410692
4, 44, 430249, 413957
4, 45, 426917, 415086
4, 46, 426091, 419619
4, 47, 423872, 411125
4, 48, 422907, 410945
4, 49, 429948, 418810
4, 50, 428655, 415845
4, 51, 436596, 417414
4, 52, 431098, 416045
4, 53, 435820, 418443
4, 54, 428670, 414579
4, 55, 433454, 415222
4, 56, 436445, 415421
4, 57, 426691, 416323
4, 58, 430026, 418557
4, 59, 428120, 423397
4, 60, 433033, 422963
4, 61, 442185, 418325
4, 62, 429164, 414981
4, 63, 427353, 414286
4, 64, 427688, 414458
4, 65, 427113, 422676
4, 66, 441077, 416466
4, 67, 429702, 414557
4, 68, 426277, 420409
4, 69, 434427, 414598
4, 70, 436948, 416656
4, 71, 426896, 419793
4, 72, 428634, 417421
4, 73, 441810, 415111
4, 74, 430252, 416793
4, 75, 425553, 421237
4, 76, 428968, 416062
4, 77, 427867, 416724
4, 78, 433455, 420080
4, 79, 425632, 417989
4, 80, 427055, 414659
4, 81, 437509, 417322
4, 82, 428871, 417920
