nroThreads, iteracion, tiempoParal, tiempoSecu
1, 1, 280547, 262594
1, 2, 278174, 262223
1, 3, 278776, 265386
1, 4, 282317, 265648
1, 5, 282260, 262273
1, 6, 291991, 261895
1, 7, 272578, 264590
1, 8, 278871, 265133
1, 9, 279534, 265792
1, 10, 278383, 265427
2, 1, 275676, 266099
2, 2, 276197, 263879
2, 3, 276477, 266770
2, 4, 275577, 266074
2, 5, 277463, 264979
2, 6, 276116, 263929
2, 7, 277415, 262953
2, 8, 276699, 266360
2, 9, 276770, 267294
2, 10, 274067, 265583
4, 1, 270807, 264288
4, 2, 284295, 264628
4, 3, 275663, 264523
4, 4, 272153, 262461
4, 5, 277220, 264272
4, 6, 278682, 264365
4, 7, 278331, 262234
4, 8, 273013, 262869
4, 9, 278253, 264460
4, 10, 273726, 263521
8, 1, 270658, 263120
8, 2, 275114, 265614
8, 3, 274632, 265465
8, 4, 270644, 262341
8, 5, 275191, 262912
8, 6, 271600, 261836
8, 7, 275022, 264270
8, 8, 276755, 266250
8, 9, 274561, 265369
8, 10, 272045, 264604
16, 1, 271881, 263659
16, 2, 274730, 262099
16, 3, 271827, 267223
16, 4, 284538, 263957
16, 5, 270482, 264982
16, 6, 271219, 263403
16, 7, 272162, 264191
16, 8, 267778, 262832
16, 9, 272442, 262434
16, 10, 269344, 262795
32, 1, 269647, 262738
32, 2, 267215, 262491
32, 3, 269701, 262376
32, 4, 268468, 262559
32, 5, 269961, 263355
32, 6, 270630, 261767
32, 7, 270583, 262711
32, 8, 269774, 264768
32, 9, 269345, 264721
32, 10, 270766, 262357
64, 1, 266023, 263034
64, 2, 267991, 262079
64, 3, 265880, 262307
64, 4, 268111, 263214
64, 5, 263448, 262383
64, 6, 268027, 262297
64, 7, 274429, 262654
64, 8, 269659, 262314
64, 9, 264980, 262823
64, 10, 269020, 264448
128, 1, 264700, 263716
128, 2, 265738, 259768
128, 3, 265374, 261880
128, 4, 269056, 265615
128, 5, 263541, 262073
128, 6, 265492, 264592
128, 7, 266586, 265344
128, 8, 266058, 261668
128, 9, 262012, 262607
128, 10, 265673, 264779
256, 1, 262759, 262445
256, 2, 263574, 263534
256, 3, 256312, 262364
256, 4, 257154, 261829
256, 5, 258191, 262950
256, 6, 269714, 262941
256, 7, 259773, 263237
256, 8, 260421, 261328
256, 9, 263423, 263245
256, 10, 262360, 262104
512, 1, 262836, 260673
512, 2, 262172, 259643
512, 3, 255955, 259635
512, 4, 257312, 259742
512, 5, 257496, 260111
512, 6, 249870, 262308
512, 7, 260662, 262233
512, 8, 257795, 259794
512, 9, 257186, 260609
512, 10, 260388, 261579
