nroThreads, iteracion, tiempoParal, tiempoSecu
1, 1, 215, 37
1, 2, 98, 33
1, 3, 99, 32
1, 4, 87, 32
1, 5, 86, 31
1, 6, 90, 31
1, 7, 86, 31
1, 8, 87, 32
1, 9, 88, 32
1, 10, 86, 31
1, 11, 85, 31
1, 12, 85, 31
1, 13, 85, 43
1, 14, 89, 31
1, 15, 86, 31
1, 16, 86, 31
1, 17, 85, 31
1, 18, 86, 31
1, 19, 86, 31
1, 20, 93, 40
1, 21, 93, 40
1, 22, 93, 40
1, 23, 200, 40
1, 24, 92, 40
1, 25, 92, 41
1, 26, 92, 40
1, 27, 125, 42
1, 28, 92, 41
1, 29, 93, 40
1, 30, 90, 40
1, 31, 89, 40
1, 32, 91, 40
1, 33, 90, 40
1, 34, 91, 40
1, 35, 91, 40
1, 36, 92, 41
1, 37, 92, 40
1, 38, 91, 40
1, 39, 89, 40
1, 40, 90, 40
1, 41, 107, 40
1, 42, 93, 40
1, 43, 93, 40
1, 44, 91, 40
1, 45, 94, 40
1, 46, 90, 40
1, 47, 90, 40
1, 48, 122, 40
1, 49, 89, 40
1, 50, 91, 40
1, 51, 90, 40
1, 52, 93, 40
1, 53, 93, 40
1, 54, 90, 40
1, 55, 92, 40
1, 56, 90, 40
1, 57, 91, 40
1, 58, 91, 40
1, 59, 91, 40
1, 60, 91, 40
1, 61, 93, 40
1, 62, 90, 40
1, 63, 91, 40
1, 64, 91, 40
1, 65, 90, 40
1, 66, 91, 41
1, 67, 92, 40
1, 68, 91, 40
1, 69, 104, 40
1, 70, 92, 40
1, 71, 91, 40
1, 72, 91, 40
1, 73, 90, 40
1, 74, 91, 40
1, 75, 90, 40
1, 76, 94, 40
1, 77, 90, 40
1, 78, 95, 47
1, 79, 95, 48
1, 80, 97, 48
1, 81, 96, 48
1, 82, 96, 48
1, 83, 97, 48
1, 84, 100, 48
1, 85, 95, 47
1, 86, 95, 48
1, 87, 95, 48
1, 88, 97, 48
1, 89, 96, 48
1, 90, 97, 49
1, 91, 98, 49
1, 92, 98, 48
1, 93, 96, 48
