nroThreads, iteracion, tiempoParal, tiempoSecu
1, 1, 471, 38
1, 2, 106, 31
1, 3, 202, 32
1, 4, 117, 138
1, 5, 176, 127
1, 6, 146, 125
1, 7, 151, 124
1, 8, 145, 153
1, 9, 151, 124
1, 10, 143, 124
2, 1, 297, 33
2, 2, 185, 32
2, 3, 149, 31
2, 4, 142, 31
2, 5, 143, 31
2, 6, 142, 32
2, 7, 143, 31
2, 8, 140, 31
2, 9, 143, 31
2, 10, 138, 31
4, 1, 9287, 54
4, 2, 362, 44
4, 3, 382, 42
4, 4, 5200, 45
4, 5, 334, 42
4, 6, 372, 41
4, 7, 5033, 92
4, 8, 3944, 36
4, 9, 3862, 136
4, 10, 455, 35
8, 1, 758, 33
8, 2, 648, 34
8, 3, 734, 35
8, 4, 646, 34
8, 5, 8375, 139
8, 6, 987, 35
8, 7, 593, 34
8, 8, 640, 34
8, 9, 640, 34
8, 10, 691, 134
