nroThreads, iteracion, tiempoParal, tiempoSecu
1, 1, 184405, 179091
1, 2, 183959, 181225
1, 3, 183960, 178784
1, 4, 184905, 178840
1, 5, 185250, 179874
1, 6, 183976, 178880
1, 7, 184213, 179244
1, 8, 186196, 179614
1, 9, 184055, 178970
1, 10, 183957, 179747
1, 11, 185182, 178723
1, 12, 183892, 178960
1, 13, 184028, 180972
1, 14, 183887, 179237
1, 15, 184301, 178826
1, 16, 185121, 179806
1, 17, 183934, 178919
1, 18, 184109, 178877
1, 19, 186627, 178872
1, 20, 183959, 179078
1, 21, 184097, 179752
1, 22, 184509, 178714
1, 23, 184515, 179143
1, 24, 184859, 182234
1, 25, 187624, 178798
1, 26, 184138, 178764
1, 27, 185040, 178866
1, 28, 188526, 179046
1, 29, 184120, 178985
1, 30, 187516, 178888
1, 31, 188622, 179002
1, 32, 183875, 180488
1, 33, 188575, 183202
1, 34, 184207, 178787
1, 35, 184025, 182758
1, 36, 188730, 183219
1, 37, 184321, 178670
1, 38, 185833, 178818
1, 39, 188535, 178999
1, 40, 183861, 179203
1, 41, 188328, 178808
1, 42, 186181, 178993
1, 43, 183996, 180673
1, 44, 188717, 183275
1, 45, 184198, 178756
1, 46, 183955, 179559
1, 47, 183888, 178704
1, 48, 184236, 178723
1, 49, 184873, 178759
1, 50, 183965, 179078
1, 51, 183964, 178938
1, 52, 186035, 178927
1, 53, 183975, 179113
1, 54, 184019, 180700
1, 55, 184005, 178599
1, 56, 184387, 178752
1, 57, 184085, 179621
1, 58, 183957, 178744
1, 59, 184302, 178739
1, 60, 185816, 178794
1, 61, 183871, 179071
1, 62, 183924, 178793
1, 63, 188141, 179660
1, 64, 183979, 179017
1, 65, 183939, 180630
1, 66, 188593, 183208
1, 67, 186993, 178810
1, 68, 183935, 183171
1, 69, 183951, 178908
1, 70, 184272, 178706
1, 71, 185844, 178734
1, 72, 183815, 179043
1, 73, 183965, 179034
1, 74, 186296, 179023
1, 75, 183950, 179009
1, 76, 184637, 180581
1, 77, 184254, 179136
1, 78, 184239, 178803
1, 79, 184158, 179607
1, 80, 184426, 178789
1, 81, 184663, 178715
1, 82, 186077, 178823
1, 83, 188587, 179312
1, 84, 184751, 179081
1, 85, 188514, 178875
1, 86, 188509, 178898
1, 87, 184016, 181217
1, 88, 188628, 183202
1, 89, 184221, 179061
1, 90, 184481, 179565
1, 91, 188575, 178833
1, 92, 186599, 178711
1, 93, 186988, 179167
1, 94, 188521, 178944
1, 95, 183872, 179711
1, 96, 185499, 178880
1, 97, 184279, 178816
1, 98, 183943, 180918
1, 99, 183826, 178656
1, 100, 184193, 178761
1, 101, 184607, 182518
1, 102, 183872, 179013
1, 103, 184124, 178925
1, 104, 186918, 178829
1, 105, 184096, 178868
1, 106, 183902, 179647
1, 107, 184902, 178872
1, 108, 184183, 178779
